date,(주)넥스트엔터테인먼트월드(NEW),(주)쇼박스,(주)시너지하우스 (시너지),(주)시네마서비스,(주)싸이더스,(주)이수C&E,CGV아트하우스,UIP코리아,no record,㈜스튜디오이쩜영,롯데엔터테인먼트,메가박스중앙(주),소니픽처스,쇼이스트(주),씨제이이앤엠(주),에스케이텔레콤(주),워너브러더스코리아(주),월트디즈니컴퍼니코리아,유니버설픽쳐스인터내셔널 코리아(유),이십세기폭스코리아(주),주식회사 해리슨앤컴퍼니,판씨네마(주)
2006.10,0.0,58.01555053037711,0.0,58.19241049128928,0.0,74.52064832232381,0.0,54.51979343296034,31.6991544911027,18.820899016700483,40.94183535462039,0.0,50.36140217054475,41.45986389069572,53.523692363473,0.0,60.9064507090381,53.79290505323354,42.075180226570545,48.167562139940635,0.0,13.842182890855458
2006.11,0.0,57.17495234623584,0.0,57.95444949188325,0.0,74.51901835123253,0.0,54.0910513327458,31.76797545156566,22.27321164802701,39.83804584572886,0.0,50.36321257461581,41.45986389069572,52.29753214385607,0.0,60.16551256382999,53.13594510937932,42.075180226570545,47.553730024541146,0.0,13.875730994152047
2006.12,0.0,57.45988122484147,0.0,57.31176414554439,0.0,74.51588985367773,0.0,54.166682000994236,31.737688682467045,24.688949562562385,39.345482699412976,0.0,50.36052798317247,41.45986389069572,51.9757115888287,0.0,59.35162848235316,53.13539040520297,42.075180226570545,50.89808005549923,0.0,13.875730994152047
2007.01,0.0,57.167902306929754,0.0,56.781948673496,0.0,74.51588985367773,0.0,54.01965662661232,35.5479054645492,24.49299283712239,39.00021695605245,0.0,49.52968567420584,41.45986389069572,51.705535492497845,0.0,58.713707430574445,53.13539040520297,38.11552492906364,50.50273240907979,0.0,13.865595325054784
2007.02,0.0,56.00566497926058,0.0,56.284138967225225,0.0,74.51588985367773,0.0,54.019504117998714,35.45860199460075,33.365793098756825,38.964327869799256,0.0,48.950787437749234,41.45986389069572,52.098974996579436,0.0,58.200913328667845,53.13539040520297,33.93918982424261,49.32544701868227,43.24303554274736,13.865595325054784
2007.03,0.0,55.21773359387026,0.0,55.263134328408874,0.0,74.50062320963897,0.0,54.01808071176658,32.64137776197871,30.784392254452136,38.1594254809482,0.0,48.62442724886002,41.45986389069572,51.53122603604164,0.0,58.19352345827715,53.13539040520297,29.667045703912063,49.2777889573175,39.461883583021226,13.865595325054784
2007.04,0.0,54.73522858772816,0.0,54.4484351152011,0.0,74.49235848437807,0.0,54.01800446194466,30.904617599785695,29.501257344032187,36.96101282160393,235.22727272727272,46.950024903021266,41.45986389069572,50.90724800945782,0.0,55.99944093536345,53.13356907980584,25.193903171224278,49.276890395187046,36.91795939614784,13.865595325054784
2007.05,0.0,54.46631481928314,0.0,53.293059272676885,0.0,74.49235848437807,0.0,54.018144078437075,30.92148904093703,28.03048290164212,36.746911041299896,56.39387956564659,51.53181622622982,41.45958515346229,50.57526391184164,0.0,55.35263711468969,53.132737104173955,23.851644077784325,49.276890395187046,36.912835282279055,13.865595325054784
2007.06,0.0,54.12790529087611,0.0,51.81103506506261,0.0,74.49235848437807,0.0,54.01759334998472,30.999441019317715,28.02823711132976,36.58486896259139,54.372103004291844,50.29736884703793,41.45958515346229,50.73256406516592,0.0,55.20813555176078,53.13024133359777,23.008510593421427,49.276890395187046,36.90938735863457,13.865595325054784
2007.07,0.0,54.05027200742594,0.0,51.590393983754105,0.0,74.49235848437807,0.0,54.01744357973084,31.31247976691486,27.229465487685587,36.349281783283026,54.88549868766404,50.05970804651192,41.459221747504934,51.678744860226104,0.0,56.02438667992629,53.13024133359777,23.60960994182777,51.00899921231229,36.90426638917794,13.984705025491625
2007.08,0.0,55.88721144936036,0.0,51.34333743796516,0.0,74.49235848437807,0.0,54.01701964288109,31.34320228139319,29.2254351009843,36.161214118688925,55.179208876025086,50.090351190638195,41.459221747504934,52.23194255243836,0.0,55.69698263090027,53.1302931851098,24.168633981084252,50.0572374024876,36.90426638917794,13.984705025491625
2007.09,0.0,54.85072014089804,0.0,50.55285658369853,0.0,74.49235848437807,0.0,54.01701964288109,31.274731191309442,29.199932111337407,36.45858417493425,52.95683930942895,50.03309187317864,41.459221747504934,51.49038763626,0.0,54.82666110812392,53.12946358673528,33.067116699711654,49.56722289152209,36.90426638917794,13.984705025491625
2007.10,0.0,53.98702367936805,0.0,49.86074691562643,0.0,74.49235848437807,0.0,54.01701964288109,31.319496166484118,28.41407726070401,35.38619847790458,44.07452045493125,50.02937802506548,41.459221747504934,50.725860522666586,0.0,53.9190308071696,53.12946358673528,31.144887607406456,48.863538744687936,36.90426638917794,13.984705025491625
2007.11,0.0,53.616243454878166,0.0,49.293252934297,0.0,74.49235848437807,0.0,54.01701964288109,30.99451440347926,27.007970909474185,34.46025883180432,43.87091338051904,49.96155659366563,41.459221747504934,50.04494056949483,0.0,53.27446533137969,53.12946358673528,29.342183045368493,48.15078463816689,36.90426638917794,13.984705025491625
