date,순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
2009.01,1,쌍화점,2008-12-30,21630473900,19.7%,24548474900,3165130,3617690,532,61554,한국,한국,(주)쇼박스
2009.01,2,과속스캔들,2008-12-03,20292386400,18.5%,48799265900,3063796,7425305,371,55327,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
2009.01,3,적벽대전 2 : 최후의 결전,2009-01-22,12354677000,11.3%,12354677000,1862696,1862696,426,20480,중국,중국,(주)쇼박스
2009.01,4,작전명 발키리,2009-01-22,8917816500,8.1%,8917816500,1334655,1334655,372,18674,미국,"미국,독일",이십세기폭스코리아(주)
2009.01,5,유감스러운 도시,2009-01-22,8026061500,7.3%,8026061500,1189313,1189313,375,19500,한국,한국,씨제이엔터테인먼트
2009.01,6,마다가스카 2,2009-01-08,7134743500,6.5%,7134743500,1161398,1161398,381,31385,미국,미국,씨제이엔터테인먼트
2009.01,7,트랜스포터-라스트 미션,2009-01-08,6222265000,5.7%,6222265000,933945,933945,267,27416,프랑스,프랑스,(주)시너지하우스 (시너지)
2009.01,8,볼트,2008-12-31,4520284000,4.1%,4961786500,683807,751874,317,22025,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
2009.01,9,예스맨,2008-12-17,3889582000,3.5%,9283621500,575414,1394018,237,16133,미국,미국,워너브러더스 코리아(주)
2009.01,10,벼랑 위의 포뇨,2008-12-17,2461553000,2.2%,9518029500,399856,1517702,308,13391,일본,일본,(주)쇼박스
2009.01,11,잃어버린 세계를 찾아서,2008-12-17,2271622000,2.1%,9296876500,354336,1434251,268,14749,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
2009.01,12,체인질링,2009-01-22,1936487500,1.8%,1936487500,280626,280626,167,6199,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
2009.01,13,지구가 멈추는 날,2008-12-24,1811674000,1.7%,10393857500,269424,1576492,313,14498,미국,미국,이십세기폭스코리아(주)
2009.01,14,디파이언스,2009-01-08,1523166500,1.4%,1526750500,228264,228956,163,9227,미국,미국,(주)엠플러스픽쳐스
