date,순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
2010.11,1,초능력자,2010-11-10,14826201500,23.5%,14826201500,2050612,2050612,612,51590,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2010.11,2,부당거래,2010-10-28,14595565000,23.2%,20129952000,1896975,2611329,502,53613,한국,한국,씨제이엔터테인먼트
2010.11,3,스카이 라인,2010-11-24,4604392500,7.3%,4604392500,619601,619601,427,16941,미국,미국,(주)화앤담이엔티
2010.11,4,레드,2010-11-03,3545326000,5.6%,3549288000,481200,481766,317,22476,미국,"미국,캐나다",(주)화앤담이엔티
2010.11,5,불량남녀,2010-11-04,3514637000,5.6%,3554401000,475588,482078,338,24312,한국,한국,(주)쇼박스
2010.11,6,소셜 네트워크,2010-11-18,3348485500,5.3%,3348485500,454246,454246,310,16102,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
2010.11,7,언스토퍼블,2010-11-10,3227941500,5.1%,3227941500,445025,445025,297,21180,미국,미국,이십세기폭스코리아(주)
2010.11,8,이층의 악당,2010-11-24,2547193500,4.0%,2547193500,348200,348200,379,13272,한국,한국,(주)싸이더스
2010.11,9,페스티발,2010-11-18,1507845000,2.4%,1507845000,195652,195652,234,11684,한국,한국,(주)시너지하우스 (시너지)
2010.11,10,렛 미 인,2010-11-18,1124797000,1.8%,1124797000,163335,163335,228,10065,영국,"영국,미국",롯데쇼핑㈜롯데엔터테인먼트
2010.11,11,심야의 F.M.,2010-10-14,1094262000,1.7%,9154155500,149283,1202554,305,13483,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
2010.11,12,가디언의 전설,2010-10-28,1187260600,1.9%,2606068200,140538,300569,238,8648,미국,"미국,호주",워너브러더스 코리아(주)
2010.11,13,두 여자,2010-11-18,955217500,1.5%,955217500,127573,127573,216,9861,한국,한국,씨제이엔터테인먼트
2010.11,14,데블,2010-11-04,855105000,1.4%,855105000,116403,116403,187,10742,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
2010.11,15,쏘우 3D,2010-11-18,1440737000,2.3%,1440737000,113539,113539,160,7370,미국,"미국,캐나다",㈜케이디미디어
2010.11,16,더 콘서트,2010-11-25,507465500,0.8%,507465500,69715,69715,130,4456,프랑스,"프랑스,이탈리아,벨기에,루마니아",유니버설픽쳐스인터내셔널 코리아(유)
2010.11,17,돌이킬 수 없는,2010-11-04,459298500,0.7%,462898500,63287,63737,204,8743,한국,한국,㈜케이디미디어
2010.11,18,대지진,2010-11-04,370134500,0.6%,372000500,53436,53943,90,3465,중국,중국,필라멘트픽쳐스
2010.11,19,듀 데이트,2010-11-24,396570000,0.6%,396570000,51586,51586,149,5657,미국,미국,워너브러더스 코리아(주)
2010.11,20,나탈리,2010-10-28,425316500,0.7%,1114062000,36413,94875,195,5299,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
2010.11,21,파라노말 액티비티 2,2010-10-21,254260500,0.4%,2575677000,35373,358453,161,3075,미국,미국,씨제이엔터테인먼트
2010.11,22,레터스 투 줄리엣,2010-10-06,246495500,0.4%,4269585500,34364,582682,145,1979,미국,미국,(주)넥스트엔터테인먼트월드(NEW)
2010.11,23,스즈미야 하루히의 소실,2010-11-11,166044500,0.3%,166044500,24055,24055,28,774,일본,일본,에이원엔터테인먼트
2010.11,24,시라노; 연애조작단,2010-09-16,154618000,0.2%,19838369000,22468,2684783,215,2553,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
2010.11,25,하비의 마지막 로맨스,2010-10-28,158565000,0.3%,242344000,22043,33261,39,1431,미국,미국,(주)영화사 진진
2010.11,26,"울지마, 톤즈",2010-09-09,127441500,0.2%,1138472500,21422,171983,51,877,한국,한국,주식회사 마운틴픽쳐스
2010.11,27,방가? 방가!,2010-09-30,124751000,0.2%,7013842000,18497,972431,209,2306,한국,한국,(주)시너지하우스 (시너지)
2010.11,28,쩨쩨한 로맨스,2010-12-01,71749000,0.1%,71749000,13837,13837,30,87,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
2010.11,29,월 스트리트: 머니 네버 슬립스,2010-10-21,97325500,0.2%,1760899000,13684,241438,221,2027,미국,미국,이십세기폭스코리아(주)
2010.11,30,소와 함께 여행하는 법,2010-11-03,89957000,0.1%,105027000,12738,16052,88,2497,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
2010.11,31,엘 시크레토 : 비밀의 눈동자,2010-11-11,87402500,0.1%,87402500,11723,11723,10,554,아르헨티나,"아르헨티나,스페인",(주) 포커스픽쳐
