date,순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
2015.05,1,어벤져스: 에이지 오브 울트론,2015-04-23,48468449666,33.6%,88385723466,5805088,10469221,1634,118238,미국,미국,월트디즈니컴퍼니코리아(주)
2015.05,2,매드 맥스: 분노의 도로,2015-05-14,25604910523,17.7%,25604910523,2946585,2946585,799,60227,미국,"미국,호주",워너브러더스 코리아(주)
2015.05,3,악의 연대기,2015-05-14,16188255132,11.2%,16189947132,2041339,2041621,776,53088,한국,한국,씨제이이앤엠(주)
2015.05,4,스파이,2015-05-21,12350703780,8.6%,12371504780,1554812,1557678,665,30254,미국,미국,이십세기폭스코리아(주)
2015.05,5,차이나타운,2015-04-29,10631768778,7.4%,11984779678,1285847,1471429,551,40637,한국,한국,CGV아트하우스
2015.05,6,간신,2015-05-21,7142752510,5.0%,7142752510,881679,881679,697,25805,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
2015.05,7,위험한 상견례 2,2015-04-29,3226399454,2.2%,3573871754,421723,472477,429,16005,한국,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)마인스 엔터테인먼트"
2015.05,8,홈,2015-05-21,2462257491,1.7%,2462257491,330374,330374,532,8290,미국,미국,씨제이이앤엠(주)
2015.05,9,다이노 타임,2015-04-30,2070020500,1.4%,2096662100,279134,282839,430,6234,한국,"한국,미국",씨제이이앤엠(주)
2015.05,10,무뢰한,2015-05-27,2144811131,1.5%,2144811131,272044,272044,482,11058,한국,한국,CGV아트하우스
2015.05,11,언프렌디드: 친구삭제,2015-05-07,1637101941,1.1%,1638813941,218706,218920,386,9974,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
2015.05,12,투모로우랜드,2015-05-27,1689497900,1.2%,1689497900,214089,214089,435,8296,미국,미국,월트디즈니컴퍼니코리아(주)
2015.05,13,연애의 맛,2015-05-07,1706805153,1.2%,1725990153,212154,214539,398,12463,한국,한국,"(주)와우픽쳐스,(주)쇼박스"
2015.05,14,노아의 방주: 남겨진 녀석들,2015-04-30,1519350300,1.1%,1586417300,211157,219621,436,5097,독일,"독일,벨기에,룩셈부르크,아일랜드",씨네그루(주)다우기술
2015.05,15,장수상회,2015-04-09,823335500,0.6%,8721101643,112234,1161875,142,3837,한국,한국,씨제이이앤엠(주)
2015.05,16,스틸 앨리스,2015-04-29,749180446,0.5%,839282546,95724,108771,116,4038,미국,미국,그린나래미디어(주)
2015.05,17,짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습,2015-04-23,679626900,0.5%,1085008600,93973,150170,330,2381,일본,일본,(주)이수C&E
2015.05,18,빌리와 용감한 녀석들 3,2015-04-30,643550100,0.4%,691598600,90778,97403,343,3039,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
2015.05,19,분노의 질주: 더 세븐,2015-04-01,542810900,0.4%,26454098694,67951,3247955,91,1949,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
2015.05,20,기생수 파트2,2015-05-07,502071959,0.3%,514236959,62071,63529,260,5109,일본,일본,판씨네마(주)
2015.05,21,위아영,2015-05-14,456478960,0.3%,456478960,57070,57070,235,4612,미국,미국,"(주)브리즈픽처스,(주)영화사오원"
2015.05,22,피치 퍼펙트: 언프리티 걸즈,2015-05-28,446309297,0.3%,446309297,56590,56590,297,3114,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
2015.05,23,말할 수 없는 비밀,2008-01-10,448622900,0.3%,1096149400,54951,155460,96,2682,대만,"대만,홍콩","(주)엔케이컨텐츠,(주)디스테이션,(주)스폰지이엔티"
2015.05,24,트래쉬,2015-05-14,177967413,0.1%,177967413,24685,24685,206,2896,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
