date,순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
2018.05,1,어벤져스: 인피니티 워,2018-04-25,52397920138,37.7%,98526464669,5804474,11064756,2224,159532,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
2018.05,2,데드풀 2,2018-05-16,30597711175,22.0%,30597711175,3386348,3386348,1576,91265,미국,미국,이십세기폭스코리아(주)
2018.05,3,독전,2018-05-22,21460592161,15.5%,21460592161,2549691,2549691,1390,59102,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2018.05,4,챔피언,2018-05-01,9433706230,6.8%,9463780230,1124264,1127719,874,47294,한국,한국,워너브러더스 코리아(주)
2018.05,5,레슬러,2018-05-09,6422133457,4.6%,6463020457,763401,768579,957,42913,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
2018.05,6,버닝,2018-05-17,4318523898,3.1%,4318523898,484119,484119,739,22614,한국,한국,CGV아트하우스
2018.05,7,피터 래빗,2018-05-16,2455637400,1.8%,2455637400,318472,318472,599,9627,미국,"미국,영국,호주",소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
2018.05,8,트루스 오어 데어,2018-05-22,1945690500,1.4%,1945690500,230173,230173,530,12918,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
2018.05,9,한 솔로: 스타워즈 스토리,2018-05-24,1527448539,1.1%,1527448539,165935,165935,569,11403,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
2018.05,10,얼리맨,2018-05-03,898509000,0.6%,927910000,117149,120896,597,5251,영국,영국,(주)이수C&E
2018.05,11,"안녕, 나의 소녀",2018-05-16,772021434,0.6%,772021434,99389,99389,155,4755,대만,대만,오드
2018.05,12,커다랗고 커다랗고 커다란 배,2018-05-03,735179900,0.5%,744393900,93254,94427,350,3363,덴마크,덴마크,예지림엔터테인먼트
2018.05,13,당갈,2018-04-25,501741900,0.4%,873940900,60221,105145,185,3093,인도,인도,(주)넥스트엔터테인먼트월드(NEW)
2018.05,14,"그날, 바다",2018-04-12,421176128,0.3%,4442750028,53865,540153,266,4133,한국,한국,(주)엣나인필름
2018.05,15,매직빈,2018-05-03,412304700,0.3%,420694700,53813,55013,534,3266,중국,중국,(주)영화사 빅
2018.05,16,"부르고뉴, 와인에서 찾은 인생",2018-05-03,413369600,0.3%,422888300,47711,48710,55,2096,프랑스,프랑스,(주)티캐스트
2018.05,17,레오나르도 다 빈치,2018-04-26,353455100,0.3%,509214200,45034,64301,207,1879,이탈리아,이탈리아,(주)스마일이엔티
2018.05,18,루비 스팍스,2018-05-10,259066700,0.2%,260938700,29418,29626,149,3811,미국,미국,(주)팝엔터테인먼트
2018.05,19,원더스트럭,2018-05-03,216372000,0.2%,224629500,25430,26317,111,2472,미국,미국,CGV아트하우스
2018.05,20,중2병이라도 사랑이 하고 싶어! 테이크 온 미,2018-05-10,211699400,0.2%,211699400,24219,24219,113,1993,일본,일본,와이드 릴리즈(주)
2018.05,21,데자뷰,2018-05-30,153741100,0.1%,153741100,23017,23017,536,3283,한국,한국,씨네그루(주)키다리이엔티
2018.05,22,마징가 Z: 인피니티,2018-05-17,175283900,0.1%,175283900,21562,21562,332,2196,일본,일본,(주)이수C&E
2018.05,23,콰이어트 플레이스,2018-04-12,177369900,0.1%,4580889849,20270,526073,70,1241,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
2018.05,24,다이노 헌터: 티렉스VS파키리노 대격돌,2018-05-17,156954900,0.1%,156954900,19454,19454,168,1221,영국,영국,(주)박수엔터테인먼트
2018.05,25,위 베어 베어스: 베이비 베어스,2018-05-24,110161800,0.1%,110161800,13957,13957,300,1355,미국,미국,(주)팝엔터테인먼트
2018.05,26,임을 위한 행진곡,2018-05-16,99575200,0.1%,138222700,13137,17736,160,1515,한국,한국,(주)알앤오엔터테인먼트
2018.05,27,콜 미 바이 유어 네임,2018-03-22,114173000,0.1%,1639531300,12997,196297,18,531,이탈리아,"이탈리아,프랑스,브라질,미국",소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
2018.05,28,"스탠바이, 웬디",2018-05-30,77777500,0.1%,78748500,11666,11806,337,1310,미국,미국,판씨네마(주)
2018.05,29,5.18 힌츠페터 스토리,2018-05-17,70412000,0.1%,70412000,10123,10123,119,1080,한국,한국,(주)드림팩트엔터테인먼트
2018.05,30,트립 투 스페인,2018-05-17,80169817,0.1%,80169817,10103,10103,60,738,영국,영국,아이 엠
2018.05,31,레이디 버드,2018-04-04,79385300,0.1%,825290500,9177,101459,46,277,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
2018.05,32,무문관,2018-04-19,67949600,0.0%,154826700,9072,20047,18,484,한국,한국,영화사 마농(주)
2018.05,33,보리 vs 매켄로,2018-05-10,75264433,0.1%,76322433,8812,8947,127,1253,스웨덴,"스웨덴,덴마크,핀란드",(주)엣나인필름
2018.05,34,에델과 어니스트,2018-05-10,68648800,0.0%,68648800,8256,8256,40,616,영국,"영국,룩셈부르크",(주)영화사 진진
2018.05,35,케이크메이커,2018-05-24,62702400,0.0%,62702400,7490,7490,65,647,독일,독일,알토미디어(주)
2018.05,36,"세라비, 이것이 인생!",2018-05-30,54753500,0.0%,54753500,7326,7326,145,497,프랑스,프랑스,(주)디스테이션
2018.05,37,램페이지,2018-04-12,56882413,0.0%,11951980109,7240,1385511,110,591,미국,미국,워너브러더스 코리아(주)
2018.05,38,씨 오브 트리스,2018-05-10,58561600,0.0%,58561600,7087,7087,98,1041,미국,미국,(주)영화사오원
2018.05,39,덕구,2018-04-05,44387800,0.0%,2374761700,7043,313231,37,343,한국,한국,메가박스중앙(주)플러스엠
2018.05,40,아기곰 보보 구출 대작전,2018-04-25,40850900,0.0%,117475900,6167,16447,143,309,노르웨이,노르웨이,와이드 릴리즈(주)
2018.05,41,살인소설,2018-04-25,45303700,0.0%,392591200,6062,49682,271,1021,한국,한국,"(주)스톰픽쳐스코리아,(주)페퍼민트앤컴퍼니"
2018.05,42,문호 스트레이독스 [데드 애플],2018-04-05,44425500,0.0%,225158500,5848,29498,15,259,일본,일본,(주)애니플러스
2018.05,43,겨울왕국의 무민,2018-02-08,24714000,0.0%,131698500,5272,24559,2,19,핀란드,"핀란드,폴란드",(주)팝엔터테인먼트
2018.05,44,탐정: 리턴즈,2018-06-13,43738000,0.0%,43738000,4834,4834,17,24,한국,한국,씨제이이앤엠(주)
2018.05,45,청년 마르크스,2018-05-17,38515100,0.0%,41292600,4519,4896,25,340,프랑스,"프랑스,독일,벨기에",와이드 릴리즈(주)
2018.05,46,서산개척단,2018-05-24,36504400,0.0%,36504400,4177,4177,52,514,한국,한국,(주)인디플러그
2018.05,47,레디 플레이어 원,2018-03-28,33594100,0.0%,19895895571,4126,2251305,43,314,미국,미국,워너브러더스 코리아(주)
2018.05,48,클레어의 카메라,2018-04-25,32604400,0.0%,74392300,4073,9312,59,662,한국,한국,"(주)영화제작전원사 ,(주)콘텐츠판다,무브먼트"
2018.05,49,라이크 크레이지,2018-05-30,27211000,0.0%,27211000,3905,3905,116,503,미국,미국,(주)팝엔터테인먼트
2018.05,50,디트로이트,2018-05-31,28367200,0.0%,28367200,3630,3630,104,264,미국,미국,그린나래미디어(주)
2018.05,51,박하사탕,2000-01-01,30409500,0.0%,83991100,3534,9441,31,394,한국,한국,"CGV아트하우스,(주)신도필림"
2018.05,52,킹 오브 프리즘 - 프라이드 더 히어로,2017-06-10,27681500,0.0%,1024223500,3372,124295,18,189,일본,일본,"동우에이앤이(주),(주)박수엔터테인먼트"
2018.05,53,꼬마영웅 바비,2018-05-30,27094100,0.0%,27094100,3324,3324,153,303,중국,중국,와이드 릴리즈(주)
2018.05,54,렛 더 선샤인 인,2018-04-26,24224500,0.0%,51548571,3114,6456,24,272,프랑스,프랑스,주식회사 씨네룩스
2018.05,55,샷 콜러,2018-05-04,20491100,0.0%,21625100,3021,3147,59,270,미국,미국,(주)스톰픽쳐스코리아
2018.05,56,블랙 팬서,2018-02-14,24270100,0.0%,45883143457,2876,5398994,7,139,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
2018.05,57,다이빙벨 그후,2018-05-24,20474800,0.0%,20474800,2554,2554,48,343,한국,한국,(주)씨네포트
2018.05,58,라이프 오브 파이,2013-01-01,29242500,0.0%,16310818600,2461,1634734,5,98,미국,미국,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)"
2018.05,59,홈,2018-05-30,16637000,0.0%,16637000,2355,2355,120,379,한국,한국,(주)리틀빅픽쳐스
2018.05,60,바라나시,2018-05-24,14682800,0.0%,14682800,2032,2032,14,127,인도,인도,(주)마노엔터테인먼트
2018.05,61,나를 기억해,2018-04-19,13804400,0.0%,1229213892,1999,140975,28,206,한국,한국,씨네그루(주)키다리이엔티
2018.05,62,파리 오페라,2018-05-17,15968600,0.0%,16708600,1987,2135,20,182,프랑스,프랑스,주식회사 더쿱
2018.05,63,쿼바디스,1973-01-13,3593000,0.0%,29527982,1784,16804,1,14,미국,미국,
2018.05,64,콜럼버스,2018-04-19,13706200,0.0%,67013000,1714,8068,10,121,미국,미국,(주)영화사오원
2018.05,65,정글번치: 최강 악당의 등장,2018-04-19,10508200,0.0%,292593700,1709,37343,22,59,프랑스,프랑스,(주)팝엔터테인먼트
2018.05,66,택시운전사,2017-08-02,8300000,0.0%,95864672649,1600,12188365,2,13,한국,한국,(주)쇼박스
2018.05,67,당신의 부탁,2018-04-19,12147900,0.0%,206762428,1575,25787,43,256,한국,한국,CGV아트하우스
2018.05,68,몬태나,2018-04-19,10739500,0.0%,231941900,1570,29351,12,109,미국,미국,판씨네마(주)
2018.05,69,소공녀,2018-03-22,11029600,0.0%,468254700,1393,58532,9,140,한국,한국,CGV아트하우스
2018.05,70,바람 바람 바람,2018-04-05,10039800,0.0%,9784337375,1314,1194221,22,189,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2018.05,70,불한당: 나쁜 놈들의 세상,2017-05-17,12894000,0.0%,7667417125,1314,953135,1,8,한국,한국,씨제이이앤엠(주)
2018.05,72,판타스틱 우먼,2018-04-19,10195500,0.0%,61075100,1312,7432,14,123,칠레,칠레,아이 엠
2018.05,73,극장판 뚝딱뚝딱 밥아저씨: 메가 머신의 역습,2018-04-19,8848000,0.0%,55820500,1266,7803,19,106,영국,영국,(주)머스트씨무비릴리징컴퍼니
2018.05,74,원더,2017-12-27,9224000,0.0%,1980935689,1232,259413,1,12,미국,미국,CGV아트하우스
2018.05,75,팬텀 스레드,2018-03-08,9528400,0.0%,236507700,1191,28872,3,56,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
2018.05,76,플로리다 프로젝트,2018-03-07,10116600,0.0%,784886800,1164,93709,6,67,미국,미국,오드
2018.05,77,토스카,2018-05-05,26401500,0.0%,26401500,1147,1147,11,71,미국,미국,(주) 인스터 글로벌
2018.05,78,해원,2018-05-10,6740400,0.0%,7798400,1122,1293,22,251,한국,한국,레드무비
2018.05,79,위대한 쇼맨,2017-12-20,9471000,0.0%,11508702700,1100,1402465,3,89,미국,미국,이십세기폭스코리아(주)
2018.05,80,맨 오브 마스크,2018-04-12,8071500,0.0%,62437100,1099,7891,4,46,프랑스,프랑스,(주)라이크 콘텐츠
2018.05,81,번개맨과 신비의 섬,2018-04-05,6546500,0.0%,486548700,1084,60561,9,33,한국,한국,"힘컨텐츠(주),(주)디스테이션"
2018.05,82,극장판 페어리 테일: 드래곤 크라이,2018-05-31,9922200,0.0%,9922200,1081,1081,97,172,일본,일본,씨제이이앤엠(주)
2018.05,83,곤지암,2018-03-28,9626600,0.0%,21442114144,1067,2675559,8,89,한국,한국,(주)쇼박스
2018.05,84,크리미널 스쿼드,2018-04-19,10898800,0.0%,236627200,1046,28477,5,18,미국,미국,(주)이수C&E
2018.05,85,호비와 매직 아일랜드,2018-06-06,3888000,0.0%,3888000,972,972,1,3,일본,일본,(주)머스트씨무비릴리징컴퍼니
2018.05,86,공작부인,,1928000,0.0%,1928000,964,964,1,15,미국,미국,
2018.05,87,라라랜드,2016-12-07,6546200,0.0%,29834775094,951,3572499,3,11,미국,미국,판씨네마(주)
2018.05,88,애혼,,1888000,0.0%,4127000,944,1803,1,12,미국,,
2018.05,89,누구를 위하여 종은 울리나,1972-03-18,1894000,0.0%,29378586,942,16428,1,6,미국,미국,
2018.05,90,서부 개척사,,1881000,0.0%,13555000,938,5421,1,9,미국,미국,
2018.05,91,개같은 내인생,1989-05-27,6683600,0.0%,13019400,907,2175,5,77,스웨덴,스웨덴,㈜영화사 백두대간
2018.05,92,영혼의 순례길,2018-05-24,7113400,0.0%,7113400,881,881,17,122,중국,중국,(주)영화사오원
2018.05,93,밤과 낮 사이,,1762000,0.0%,2274000,876,1132,1,10,이탈리아,"이탈리아,미국",
2018.05,94,리브 어게인,2018-04-26,6613300,0.0%,16516400,873,2148,19,127,미국,미국,그린나래미디어(주)
2018.05,95,존 휴스턴 회고전-용서받지 못할 자,,1721000,0.0%,11003000,858,4874,1,8,미국,미국,
2018.05,96,파파 오랑후탄,2018-04-19,6609000,0.0%,14572000,850,1948,3,46,한국,한국,파이오니아21
2018.05,97,삼손,2018-04-19,6105600,0.0%,14298400,845,1908,7,61,미국,미국,(주)드림팩트엔터테인먼트
2018.05,98,아이다,2018-04-04,18365500,0.0%,46091500,844,2002,10,42,독일,독일,(주)케빈앤컴퍼니
2018.05,99,지금 만나러 갑니다,2018-03-14,6520000,0.0%,20794188128,825,2601299,3,45,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
2018.05,100,굿 매너스,2018-05-03,5174300,0.0%,6909300,796,995,9,87,브라질,"브라질,프랑스",노바엔터테인먼트
2018.05,101,초원의 빛,1972-03-18,1468000,0.0%,36995000,774,18176,1,16,미국,미국,
2018.05,102,시로코,,1544000,0.0%,2394000,767,1049,1,15,미국,미국,
2018.05,103,사랑의 종이 울릴 때,,1531000,0.0%,4419000,763,2197,1,16,미국,미국,
2018.05,104,스파키,2018-04-12,3508600,0.0%,257040200,755,35436,9,54,한국,한국,예지림엔터테인먼트
2018.05,105,쓰리 빌보드,2018-03-15,5852500,0.0%,800125700,718,97480,5,40,미국,미국,이십세기폭스코리아(주)
2018.05,106,젊은 사자들,,1392000,0.0%,6921000,696,3477,1,10,미국,미국,
2018.05,107,디아볼릭,,1385000,0.0%,4065000,685,1627,1,12,프랑스,프랑스,
2018.05,108,수성못,2018-04-19,4454000,0.0%,27528900,672,3681,12,124,한국,한국,㈜인디스토리
2018.05,109,해저 2만리,,1255000,0.0%,19021000,662,9067,1,12,미국,미국,
2018.05,110,소돔과 고모라,1974-04-25,1296000,0.0%,7753000,648,3905,1,8,미국,"미국,이탈리아,프랑스",
2018.05,110,오션스8,2018-06-13,5832000,0.0%,5832000,648,648,1,2,미국,미국,워너브러더스 코리아(주)
2018.05,112,거리의 악사,,1296000,0.0%,1296000,643,643,1,12,영국,영국,
2018.05,113,빠삐용,1974-09-07,1265000,0.0%,27990000,625,13687,1,9,미국,"미국,프랑스",(주)에이앤비픽쳐스
2018.05,114,오목소녀,2018-05-24,4320400,0.0%,4320400,611,611,17,132,한국,한국,㈜인디스토리
2018.05,115,류이치 사카모토: 코다,2018-06-14,6589300,0.0%,6589300,607,607,6,9,일본,일본,주식회사 씨네룩스
2018.05,116,정글,2018-05-31,4927000,0.0%,4927000,600,600,45,85,호주,"호주,콜롬비아",㈜코리아스크린
