date,순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
2017.12,1,신과함께-죄와 벌,2017-12-20,68350496432,36.0%,68350496432,8539495,8539495,1912,91301,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
2017.12,2,강철비,2017-12-14,31983233566,16.8%,31994897566,4012889,4014293,1426,66754,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2017.12,3,1987,2017-12-27,15254004037,8.0%,15254004037,1942077,1942077,1299,27619,한국,한국,씨제이이앤엠(주)
2017.12,4,꾼,2017-11-22,13493128447,7.1%,31312029795,1693701,4018035,1006,60790,한국,한국,(주)쇼박스
2017.12,5,기억의 밤,2017-11-29,9540201760,5.0%,10646654660,1212902,1386611,759,46248,한국,한국,"메가박스중앙(주)플러스엠,주식회사 키위컴퍼니"
2017.12,6,스타워즈: 라스트 제다이,2017-12-14,8535886061,4.5%,8535886061,946547,946547,1107,30914,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
2017.12,7,위대한 쇼맨,2017-12-20,6657027200,3.5%,6657027200,814585,814585,702,20306,미국,미국,이십세기폭스코리아(주)
2017.12,8,뽀로로 극장판 공룡섬 대모험,2017-12-07,5826048600,3.1%,5848888600,770801,773743,803,18213,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2017.12,9,오리엔트 특급 살인,2017-11-29,5629100863,3.0%,6636205163,707362,863567,707,29917,미국,미국,이십세기폭스코리아(주)
2017.12,10,메리와 마녀의 꽃,2017-12-07,4062304239,2.1%,4064280239,535084,535331,751,21382,일본,일본,CGV아트하우스
2017.12,11,극장판 포켓몬스터 너로 정했다!,2017-12-21,3117529700,1.6%,3117529700,415255,415255,626,7796,일본,일본,(주)이수C&E
2017.12,12,반드시 잡는다,2017-11-29,2645066972,1.4%,3326439772,342180,446780,565,19448,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2017.12,13,몬스터 패밀리,2017-12-21,2531182700,1.3%,2531182700,341614,341614,617,6636,독일,독일,씨네그루(주)키다리이엔티
2017.12,14,어쌔신: 더 비기닝,2017-12-07,1575027000,0.8%,1593848000,203045,205368,528,13429,미국,미국,(주)이수C&E
2017.12,15,러빙 빈센트,2017-11-09,1171223961,0.6%,3061456861,145127,384540,199,5766,영국,"영국,폴란드",판씨네마(주)
2017.12,16,이프 온리,2004-10-29,1128973600,0.6%,6797912400,136275,1019061,168,7544,미국,미국,"(주)유니코리아문예투자,씨제이엔터테인먼트"
2017.12,17,저스티스 리그,2017-11-15,688931600,0.4%,14629677795,87633,1786383,416,5900,미국,미국,워너브러더스 코리아(주)
2017.12,18,원더,2017-12-27,632389700,0.3%,632389700,81680,81680,178,2831,미국,미국,CGV아트하우스
2017.12,19,토르: 라그나로크,2017-10-25,513385200,0.3%,39227691395,64265,4853778,228,2829,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
2017.12,20,더 크리스마스,2017-12-21,461785500,0.2%,461785500,62082,62082,158,1506,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
2017.12,21,라라랜드,2016-12-07,483129461,0.3%,29818249394,57829,3570395,247,2402,미국,미국,판씨네마(주)
2017.12,22,극장판 숲의 요정 페어리루 ~크리스마스의 기적: 마법의 날개~,2017-12-14,424665700,0.2%,424665700,54988,54988,207,1835,일본,일본,"(주)이수C&E,(주)에이원엔터테인먼트"
2017.12,23,튤립 피버,2017-12-14,417768549,0.2%,417768549,52144,52144,359,4444,영국,"영국,미국",(주)팝엔터테인먼트
2017.12,24,산상수훈,2017-12-07,279317000,0.1%,287246000,39044,40073,71,1033,한국,한국,"이언픽쳐스,(주)그란"
2017.12,25,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,2017-12-28,279848900,0.1%,279848900,36450,36450,191,1211,일본,일본,(주)박수엔터테인먼트
2017.12,26,해피 데스데이,2017-11-08,247561347,0.1%,11004455402,31646,1382650,270,2767,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
2017.12,27,세 번째 살인,2017-12-14,240395200,0.1%,240395200,29361,29361,119,1876,일본,일본,(주)티캐스트
2017.12,28,패터슨,2017-12-21,237836300,0.1%,237836300,29277,29277,62,1062,프랑스,"프랑스,독일,미국",그린나래미디어(주)
2017.12,29,러브레터,1999-11-20,202283200,0.1%,771012192,25624,101049,121,1647,일본,일본,"와이드 릴리즈(주),(주)제이앤씨미디어그룹,(유)조이앤시네마,(주)팝엔터테인먼트"
2017.12,30,스테이션 7,2017-12-07,157001100,0.1%,169220100,21071,22536,239,2600,러시아,러시아,(주)영화사 진진
2017.12,31,"안녕, 나의 소울메이트",2017-12-07,162767500,0.1%,191541500,20882,24381,165,1911,홍콩,홍콩,(주)나이너스엔터테인먼트
2017.12,32,러브 액츄얼리,2003-12-05,167252800,0.1%,2144504708,19528,307284,97,814,미국,"미국,영국","와이드 릴리즈(주),(주)제이앤씨미디어그룹,UIP코리아,(유)조이앤시네마"
2017.12,33,은혼,2017-12-07,147645500,0.1%,148853500,18172,18323,137,2135,일본,일본,(주)라이크 콘텐츠
2017.12,34,래빗 스쿨,2017-11-23,124142800,0.1%,401768900,17731,55784,126,561,독일,독일,예지림엔터테인먼트
2017.12,35,빅 배드 폭스,2017-11-30,109581100,0.1%,120614100,14867,16340,219,992,프랑스,프랑스,(주)스마일이엔티
2017.12,36,하이큐!! 재능과 센스,2017-11-15,105855000,0.1%,308774500,14236,42972,68,1236,일본,일본,(주)이수C&E
2017.12,37,채비,2017-11-09,85846200,0.0%,1260467864,13895,177428,31,251,한국,한국,오퍼스픽쳐스(유)
2017.12,38,버킷 리스트:죽기전에 꼭 하고싶은것들,2008-04-09,96006700,0.1%,1965849000,13743,295214,59,1188,미국,미국,"주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)"
2017.12,39,피터와 모글리의 크리스마스 어드벤처,2017-11-23,76967800,0.0%,241351800,12372,34899,57,389,인도,인도,(주)팝엔터테인먼트
2017.12,40,토마스와 친구들: 그레이트 레이스,2017-11-30,91400000,0.0%,98705400,12327,13314,249,1240,영국,영국,와이드 릴리즈(주)
2017.12,41,돌아온다,2017-12-07,75830300,0.0%,82849300,11844,12751,58,726,한국,한국,(주)더블앤조이픽쳐스
2017.12,42,월터의 상상은 현실이 된다,2013-12-31,71251800,0.0%,6948514599,8777,950403,81,621,미국,미국,"글뫼 주식회사,이십세기폭스코리아(주)"
2017.12,43,우리는 같은 꿈을 꾼다,2017-11-30,64191100,0.0%,84208100,8264,10773,37,619,헝가리,헝가리,찬란
2017.12,44,페이트 스테이 나이트 헤븐즈필 제1장 프레시지 플라워,2017-11-16,65812300,0.0%,338294000,8075,42413,25,311,일본,일본,(주)박수엔터테인먼트
2017.12,45,무서운 꿈,2017-12-07,61726700,0.0%,62718700,7869,7995,120,1034,미국,미국,(주)영화사선
2017.12,46,내가 죽기 전에,2017-12-21,18427000,0.0%,18427000,7082,7082,3,23,미국,미국,제인앤유
2017.12,47,행복을 찾아서,2007-02-28,46078500,0.0%,3698251000,6647,599249,55,1009,미국,미국,"(주)팝엔터테인먼트,한국소니픽쳐스릴리징브에나비스타영화㈜"
2017.12,48,범죄도시,2017-10-03,54407900,0.0%,56318014149,6549,6879841,51,471,한국,한국,"메가박스중앙(주)플러스엠,(주)키위미디어그룹"
2017.12,49,스쿨 오브 락,2004-02-27,45813800,0.0%,234681800,6434,36091,78,1094,영국,영국,"윤스,UIP코리아"
2017.12,50,1720 디네킬렌 해전,,12442000,0.0%,12442000,6221,6221,3,19,덴마크,덴마크,제인앤유
2017.12,51,초행,2017-12-07,46868500,0.0%,51719500,6135,6691,47,896,한국,한국,(주)인디플러그
2017.12,52,마음이 외치고 싶어해,2017-12-07,43060100,0.0%,44052100,5849,5975,99,914,일본,일본,(주)스마일이엔티
2017.12,53,아이 캔 스피크,2017-09-21,33010000,0.0%,25526451186,5737,3279296,12,68,한국,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스"
2017.12,54,두 개의 사랑,2017-12-28,42671300,0.0%,47291300,5204,5782,49,267,프랑스,프랑스,(주)팝엔터테인먼트
2017.12,55,아들에게 가는 길,2017-11-30,33197100,0.0%,45168500,5117,6814,46,417,한국,한국,"(주)에스와이코마드,글뫼 주식회사"
2017.12,56,스톡홀름의 마지막 연인,2017-12-21,36525400,0.0%,37882400,4747,4941,47,425,스웨덴,스웨덴,(주)엣나인필름
2017.12,57,고령가 소년 살인사건,2017-11-23,57885200,0.0%,104816500,4543,7562,9,134,대만,대만,(주)리틀빅픽쳐스
2017.12,58,너의 췌장을 먹고 싶어,2017-10-25,34492000,0.0%,3703660800,4397,465265,40,370,일본,일본,(주)넥스트엔터테인먼트월드(NEW)
2017.12,59,고스트 스토리,2017-12-28,37338700,0.0%,37338700,4276,4276,57,291,미국,미국,"(주)리틀빅픽쳐스,주식회사 더쿱"
2017.12,60,록키,1977-06-11,28789200,0.0%,39355900,4123,5657,55,936,미국,미국,(주)영화사오원
