date,순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
2011.04,1,위험한 상견례,2011-03-31,15855988000,27.7%,17334919500,2126018,2328183,524,61322,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
2011.04,2,수상한 고객들,2011-04-14,6821602000,11.9%,6821602000,906266,906266,411,27250,한국,한국,씨제이이앤엠(주)
2011.04,3,분노의 질주: 언리미티드,2011-04-20,6596395500,11.5%,6596395500,871554,871554,457,20604,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
2011.04,4,토르: 천둥의 신,2011-04-28,4204082000,7.3%,4204082000,411605,411605,496,7954,미국,미국,씨제이이앤엠(주)
2011.04,5,그대를 사랑합니다,2011-02-17,2378869000,4.1%,11977634000,329127,1635751,234,17678,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2011.04,6,내 이름은 칸,2011-03-24,2335946500,4.1%,2780026500,316070,375371,227,13704,인도,인도,필라멘트픽쳐스
2011.04,7,세상에서 가장 아름다운 이별,2011-04-20,1733351000,3.0%,1733351000,237514,237514,340,13728,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2011.04,8,킹스 스피치,2011-03-17,1550994500,2.7%,5960945500,211018,805841,292,12768,영국,"영국,호주",(주)화앤담이엔티
2011.04,9,줄리아의 눈,2011-03-31,1621714500,2.8%,1827211000,208679,236359,232,13965,스페인,스페인,씨너스엔터테인먼트(주)
2011.04,10,한나,2011-04-14,1564871500,2.7%,1564871500,208141,208141,269,13023,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
2011.04,11,나는 아빠다,2011-04-14,1206217500,2.1%,1206217500,162755,162755,300,15080,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
2011.04,12,노미오와 줄리엣,2011-04-14,1467454500,2.6%,1467454500,160450,160450,291,8722,영국,"영국,미국",(주)쇼박스
2011.04,13,써커 펀치,2011-04-07,1222739000,2.1%,1222739000,156512,156512,240,12525,미국,미국,워너브러더스 코리아(주)
2011.04,14,적과의 동침,2011-04-27,879802000,1.5%,879802000,124416,124416,391,6446,한국,한국,(주)쇼박스
2011.04,15,라스트 나잇,2011-04-07,910843000,1.6%,910843000,119963,119963,243,12030,미국,"미국,프랑스",(주)싸이더스
2011.04,16,제인 에어,2011-04-20,807956000,1.4%,807956000,111598,111598,208,7593,영국,영국,(주)시너지하우스 (시너지)
2011.04,17,월드 인베이젼,2011-03-10,679088500,1.2%,9799358000,93392,1307873,264,7782,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
2011.04,18,마이 블랙 미니드레스,2011-03-24,661718000,1.2%,2318884500,89595,313953,284,7854,한국,한국,씨제이이앤엠(주)
2011.04,19,베니싱,2011-03-31,478631500,0.8%,542044000,64177,73582,181,6964,미국,미국,(주)넥스트엔터테인먼트월드(NEW)
2011.04,20,황당한 외계인: 폴,2011-04-07,461937500,0.8%,461937500,61808,61808,148,6194,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
2011.04,21,미트 페어런츠 3,2011-03-31,457878000,0.8%,517805000,60719,70053,196,5450,미국,미국,씨제이이앤엠(주)
2011.04,22,더 라이트: 악마는 있다,2011-04-20,402750500,0.7%,402750500,52919,52919,104,4413,미국,미국,워너브러더스 코리아(주)
2011.04,23,체포왕,2011-05-04,266715000,0.5%,266715000,39083,39083,246,583,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
2011.04,24,고백,2011-03-31,306058000,0.5%,323852000,38938,41354,50,2117,일본,일본,(주)미로비젼
2011.04,25,블랙 스완,2011-02-24,289404000,0.5%,12484096000,37566,1623199,136,2843,미국,미국,"(주)영화사 그램,이십세기폭스코리아(주)"
2011.04,26,써니,2011-05-04,261064500,0.5%,261064500,33647,33647,232,581,한국,한국,씨제이이앤엠(주)
2011.04,27,소명 3 : 히말라야의 슈바이처,2011-04-07,168772500,0.3%,168772500,24151,24151,37,1293,한국,한국,(주)에스피엠
2011.04,28,마오의 라스트 댄서,2011-04-28,160736000,0.3%,160736000,23406,23406,171,2462,호주,호주,(주)에스비에스콘텐츠허브
2011.04,29,굿모닝 에브리원,2011-03-17,159556000,0.3%,1562415000,19993,202667,67,979,미국,미국,씨제이이앤엠(주)
2011.04,30,"울지마, 톤즈",2010-09-09,93442000,0.2%,2495679500,19504,435747,5,178,한국,한국,주식회사 마운틴픽쳐스
2011.04,31,레드 라이딩 후드,2011-03-17,132190500,0.2%,2728562500,17854,362572,145,1977,미국,"미국,캐나다",워너브러더스 코리아(주)
2011.04,32,랭고,2011-03-03,109779500,0.2%,3043816000,15737,430001,85,534,미국,미국,씨제이이앤엠(주)
2011.04,33,상실의 시대,2011-04-21,114321200,0.2%,114321200,14976,14976,53,1088,일본,일본,예지림엔터테인먼트
2011.04,34,바보야,2011-04-21,58905000,0.1%,58905000,11133,11133,70,1139,한국,한국,주식회사 마운틴픽쳐스
