date,순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
2006.09,1,우리들의 행복한 시간,2006-09-14,10344636500,19.5%,10344636500,1706884,1706884,414,28785,한국,한국,(주)프라임엔터테인먼트
2006.09,2,가문의 부활 - 가문의 영광3,2006-09-21,7881000000,14.8%,7881000000,1280273,1280273,444,22871,한국,한국,(주)쇼박스
2006.09,3,일본침몰,2006-08-31,4304652400,8.1%,4672989200,707094,773025,211,15605,일본,일본,(주)시네마서비스
2006.09,4,타짜,2006-09-28,4285668900,8.1%,4285668900,694992,694992,418,6643,한국,한국,씨제이엔터테인먼트
2006.09,5,괴물,2006-07-27,3654772500,6.9%,66691933300,596978,10913490,199,17874,한국,한국,(주)쇼박스
2006.09,6,"연애, 그 참을 수 없는 가벼움",2006-09-07,3596293500,6.8%,3611679500,563645,565843,203,15693,한국,한국,씨제이엔터테인먼트
2006.09,7,천하장사 마돈나,2006-08-31,3366266800,6.3%,3543932700,544040,574143,172,15152,한국,한국,씨제이엔터테인먼트
2006.09,8,뚝방전설,2006-09-07,2107337700,4.0%,2130068700,334812,338256,180,13407,한국,한국,(주)쇼박스
2006.09,9,예의없는 것들,2006-08-24,1924180900,3.6%,4886718200,302625,782897,161,9316,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
2006.09,10,야연,2006-09-21,1621731200,3.1%,1621731200,260162,260162,187,7864,중국,중국,롯데쇼핑㈜롯데엔터테인먼트
2006.09,11,"두뇌유희프로젝트, 퍼즐",2006-09-14,1450329200,2.7%,1450329200,228357,228357,181,10565,한국,한국,(주)시네마서비스
2006.09,12,해변의 여인,2006-08-31,893589200,1.7%,1009387200,140090,159571,141,6233,한국,한국,(주)미로비젼
2006.09,13,센티넬,2006-09-07,806982500,1.5%,806982500,127722,127722,91,5468,미국,미국,이십세기폭스코리아(주)
2006.09,14,각설탕,2006-08-10,760436000,1.4%,7631785700,127108,1265508,115,3875,한국,한국,씨제이엔터테인먼트
2006.09,15,라디오 스타,2006-09-28,764284400,1.4%,764284400,123548,123548,244,4728,한국,한국,(주)시네마서비스
2006.09,16,레이크 하우스,2006-08-31,768505500,1.4%,850334000,120108,133961,137,6355,미국,미국,워너브러더스 코리아(주)
2006.09,17,원탁의 천사,2006-08-24,677911200,1.3%,2355829200,116810,401662,139,4590,한국,한국,(주)쇼박스
2006.09,18,아이스케키,2006-08-24,578687300,1.1%,2245915000,101182,392780,153,4373,한국,한국,(주)엠케이픽처스
