date,순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
2008.10,1,이글 아이,2008-10-09,12420007500,21.9%,12425390500,1911382,1912151,407,40254,미국,미국,씨제이엔터테인먼트
2008.10,2,맘마미아!,2008-09-03,6758398000,11.9%,28074758500,1069148,4298929,312,35243,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
2008.10,3,아내가 결혼했다,2008-10-23,5637123000,9.9%,5637123000,842851,842851,417,19371,한국,한국,씨제이엔터테인먼트
2008.10,4,모던보이,2008-10-02,4979518500,8.8%,4989150500,760501,761877,371,28801,한국,한국,씨제이엔터테인먼트
2008.10,5,고고 70,2008-10-03,3766227000,6.6%,3861633000,572378,594320,369,26636,한국,한국,(주)쇼박스
2008.10,6,미쓰 홍당무,2008-10-16,3236700000,5.7%,3236700000,484583,484583,285,21583,한국,한국,(주)벤티지홀딩스
2008.10,7,신기전,2008-09-04,2334690500,4.1%,24314798000,373222,3726377,312,16661,한국,한국,씨제이엔터테인먼트
2008.10,8,바디 오브 라이즈,2008-10-23,2383695000,4.2%,2383695000,368296,368296,237,10909,미국,미국,워너브러더스 코리아(주)
2008.10,9,트럭,2008-09-25,1694021000,3.0%,3729060000,251827,549920,253,13706,한국,한국,(주)싸이더스
2008.10,10,공작부인:세기의 스캔들,2008-10-16,1486024000,2.6%,1486024000,233698,233698,193,12558,미국,"미국,영국",(주)넥스트엔터테인먼트월드(NEW)
2008.10,11,바빌론 A.D.,2008-10-02,1496392500,2.6%,1496392500,229608,229608,164,11834,미국,미국,이십세기폭스코리아(주)
2008.10,12,영화는 영화다,2008-09-11,1102932000,1.9%,8963896500,162013,1310535,232,7229,한국,한국,㈜스튜디오이쩜영
2008.10,13,헬보이 2 : 골든 아미,2008-09-25,976866000,1.7%,2572551500,155591,399570,281,8473,미국,"미국,독일",유니버설픽쳐스인터내셔널 코리아(유)
2008.10,14,데스 레이스,2008-10-16,996658000,1.8%,996658000,150029,150029,152,9116,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
2008.10,15,멋진 하루,2008-09-25,919970500,1.6%,2571062000,147351,394098,285,8491,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
2008.10,16,화피,2008-10-23,776166000,1.4%,776166000,117532,117532,174,7450,홍콩,"홍콩,싱가포르,중국",(주)시너지하우스 (시너지)
2008.10,17,하우 투 루즈 프렌즈,2008-10-16,639767500,1.1%,639767500,101226,101226,201,7834,영국,영국,롯데쇼핑㈜롯데엔터테인먼트
2008.10,18,비몽,2008-10-09,579596500,1.0%,579596500,87442,87442,101,6027,한국,"한국,일본",(주)스폰지이엔티
2008.10,19,그 남자의 책 198쪽,2008-10-23,509282000,0.9%,509282000,80982,80982,221,8110,한국,한국,(주)성원아이컴
2008.10,20,더 클럽,2008-10-02,491293500,0.9%,491293500,73210,73210,137,5463,미국,미국,(주)시너지하우스 (시너지)
2008.10,21,내 친구의 사생활,2008-10-09,466504000,0.8%,466504000,72289,72289,131,5558,미국,미국,(주)엠플러스픽쳐스
2008.10,22,미스 페티그루의 어느 특별한 하루,2008-10-02,396892000,0.7%,417348000,67773,71559,85,3734,영국,영국,(주)넥스트엔터테인먼트월드(NEW)
2008.10,23,뱅크 잡,2008-10-30,401549000,0.7%,401549000,61993,61993,199,2514,영국,영국,(주)싸이더스
2008.10,24,언더 더 쎄임 문,2008-10-16,329355500,0.6%,329355500,53735,53735,65,3168,멕시코,"멕시코,미국",(주)유니코리아문예투자
