date,순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
2006.04,1,"달콤, 살벌한 연인",2006-04-06,12125006600,22.3%,12143518600,1878148,1880762,246,31303,한국,한국,씨제이엔터테인먼트
2006.04,2,빨간모자의 진실,2006-04-06,4823523600,8.9%,4885406600,794144,809385,164,17293,미국,미국,(주)쇼박스
2006.04,3,사생결단,2006-04-27,4091134800,7.5%,4091134800,646558,646558,288,7794,한국,한국,씨제이이앤엠(주)
2006.04,4,청춘만화,2006-03-23,3945730600,7.3%,9785168000,625870,1567514,279,18214,한국,한국,(주)쇼박스
2006.04,5,오만과 편견,2006-03-24,3394555200,6.2%,5408766900,541606,865900,157,12968,미국,미국,UIP코리아
2006.04,6,맨발의 기봉이,2006-04-26,3048359100,5.6%,3048359100,494631,494631,271,7779,한국,한국,(주)쇼박스
2006.04,7,뻔뻔한 딕&제인,2006-03-30,2554318600,4.7%,3031937700,399845,483033,149,12950,미국,미국,소니픽쳐스릴리징코리아
2006.04,8,드리머,2006-04-13,1688293600,3.1%,1688293600,273818,273818,188,10671,미국,미국,쇼이스트(주)
2006.04,9,인사이드 맨,2006-04-21,1675247700,3.1%,1675247700,262813,262813,122,6406,미국,미국,UIP코리아
2006.04,10,식스틴블럭,2006-04-20,1596125500,2.9%,1596125500,251352,251352,128,7562,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
2006.04,11,원초적 본능 2,2006-03-30,1581664000,2.9%,1999547100,245554,313291,185,10040,미국,미국,(주)시네마서비스
2006.04,12,원피스 - 기계태엽성의 메카거병,2006-10-26,1401794500,2.6%,1401794500,233891,233891,126,4941,일본,일본,(주)엠케이픽처스
2006.04,13,도마뱀,2006-04-27,1361176000,2.5%,1361176000,212851,212851,253,6665,한국,한국,(주)시네마서비스
2006.04,14,아이스 에이지 2,2006-04-20,1133230200,2.1%,1133230200,179199,179199,162,6341,미국,미국,이십세기폭스코리아(주)
2006.04,15,엑소시즘 오브 에밀리 로즈,2006-04-13,980651800,1.8%,980651800,158412,158412,113,6325,미국,미국,소니픽쳐스릴리징코리아
2006.04,16,크래쉬,2006-04-06,901373800,1.7%,901373800,141767,141767,84,5134,미국,미국,(주)스튜디오이쩜영
2006.04,17,에디슨 시티,2006-04-06,787345000,1.4%,788697000,127300,127638,81,5726,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
2006.04,18,방과후 옥상,2006-03-16,790319500,1.5%,4817252500,127046,773042,135,4880,한국,한국,(주)시네마서비스
2006.04,19,매치 포인트,2006-04-13,839161100,1.5%,839161100,126855,126855,68,3986,영국,"영국,미국","(주)퍼스트런,글뫼 주식회사,씨제이엔터테인먼트"
2006.04,20,연리지,2006-04-13,696954300,1.3%,696954300,114641,114641,165,8006,한국,한국,(주)쇼박스
2006.04,21,마이 캡틴 김대출,2006-04-20,653740500,1.2%,653740500,106363,106363,165,6127,한국,한국,(주)스튜디오이쩜영
2006.04,22,무인 곽원갑,2006-03-23,498968500,0.9%,1926775700,79805,308428,138,4094,중국,중국,쇼이스트(주)
2006.04,23,뎀,2006-04-20,450537000,0.8%,450537000,72265,72265,71,3114,프랑스,프랑스,(주)누리픽쳐스
2006.04,24,카리스마 탈출기,2006-03-30,425896200,0.8%,532419300,68369,86027,141,4412,한국,한국,씨제이엔터테인먼트
2006.04,25,시리아나,2006-03-30,419226200,0.8%,524490200,65310,82488,90,3127,미국,미국,워너브러더스 코리아(주)
2006.04,26,달콤한 백수와 사랑만들기,2006-04-07,418436500,0.8%,418436500,63860,63860,95,4369,미국,미국,UIP코리아
2006.04,27,나나,2006-03-30,349165900,0.6%,438060500,56732,71312,87,2721,일본,일본,(주)엠케이픽처스
2006.04,28,브이 포 벤데타,2006-03-16,282782800,0.5%,2809650200,42761,436255,71,1318,미국,미국,워너브러더스 코리아(주)
2006.04,29,와일드,2006-04-20,224600400,0.4%,224600400,38146,38146,105,2668,미국,미국,브에나비스타인터내셔널코리아
2006.04,30,스위트 룸,2006-04-06,184151500,0.3%,184151500,28822,28822,62,2055,캐나다,"캐나다,영국,미국",(주)미로비젼
