date,순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
2018.12,1,보헤미안 랩소디,2018-10-31,32956934856,17.9%,80010440345,3797922,9224582,1103,85465,미국,미국,이십세기폭스코리아(주)
2018.12,2,아쿠아맨,2018-12-19,30454292381,16.5%,30454292381,3491857,3491857,1285,54505,미국,"미국,호주",워너브러더스 코리아(주)
2018.12,3,국가부도의 날,2018-11-28,25410814467,13.8%,30845862137,3003317,3747952,1173,83294,한국,한국,씨제이이앤엠(주)
2018.12,4,마약왕,2018-12-19,15784724552,8.6%,15784724552,1813594,1813594,1297,41658,한국,한국,(주)쇼박스
2018.12,5,도어락,2018-12-05,12683552886,6.9%,12792097886,1543800,1559616,954,53651,한국,한국,메가박스중앙(주)플러스엠
2018.12,6,스윙키즈,2018-12-19,10304613602,5.6%,10308565602,1258317,1258811,984,32235,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2018.12,7,PMC: 더 벙커,2018-12-26,9704247367,5.3%,9704247367,1179031,1179031,1081,26690,한국,한국,씨제이이앤엠(주)
2018.12,8,범블비,2018-12-25,9756083752,5.3%,9756083752,1167150,1167150,1016,26260,미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
2018.12,9,스파이더맨: 뉴 유니버스,2018-12-12,5305289076,2.9%,5305289076,639934,639934,722,22113,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
2018.12,10,호두까기 인형과 4개의 왕국,2018-12-06,4120048900,2.2%,4120048900,513767,513767,294,14238,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
2018.12,11,그린치,2018-12-19,3675369950,2.0%,3675441950,485056,485064,724,10997,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
2018.12,12,점박이 한반도의 공룡2 : 새로운 낙원,2018-12-25,2941541400,1.6%,2941541400,375312,375312,672,6495,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2018.12,13,성난황소,2018-11-22,2558924225,1.4%,13236490737,311026,1593386,635,13424,한국,한국,(주)쇼박스
2018.12,14,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,2018-12-19,2148708050,1.2%,2148708050,277206,277206,489,5329,일본,일본,씨제이이앤엠(주)
2018.12,15,모털 엔진,2018-12-05,2324362119,1.3%,2324362119,267896,267896,661,15454,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
2018.12,16,완벽한 타인,2018-10-31,1964919100,1.1%,44350807074,237333,5293435,548,10753,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
2018.12,17,런닝맨 : 풀룰루의 역습,2018-12-05,1413729750,0.8%,1420218750,186191,186912,511,5518,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2018.12,18,극장판 포켓몬스터 모두의 이야기,2018-12-19,1314100400,0.7%,1314100400,169677,169677,493,4484,일본,일본,(주)이수C&E
2018.12,19,후드,2018-11-28,1303467875,0.7%,2203434149,157836,284601,603,8035,미국,미국,(주)이수C&E
2018.12,20,신비한 동물들과 그린델왈드의 범죄,2018-11-14,998206166,0.5%,20816583118,119099,2414062,409,4167,미국,미국,워너브러더스 코리아(주)
2018.12,21,부탁 하나만 들어줘,2018-12-12,988418788,0.5%,992810788,114536,115024,461,8518,미국,미국,(주)팝엔터테인먼트
2018.12,22,엘리엇과 산타 썰매단,2018-12-12,399032800,0.2%,399032800,57579,57579,335,2047,캐나다,캐나다,(주)팝엔터테인먼트
2018.12,23,헌터 킬러,2018-12-06,459510450,0.2%,464838450,55919,56511,226,2774,미국,미국,씨네그루(주)키다리이엔티
