date,순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
2011.02,1,조선명탐정 : 각시투구꽃의 비밀,2011-01-27,27347618000,25.5%,33871551500,3647613,4518881,634,63543,한국,한국,(주)쇼박스
2011.02,2,아이들...,2011-02-17,10646238000,9.9%,10663342000,1466043,1469484,504,23701,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
2011.02,3,평양성,2011-01-27,9370956000,8.7%,12654026500,1260427,1710522,483,33934,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
2011.02,4,걸리버 여행기,2011-01-27,10573944000,9.9%,16439425500,1129068,1761743,527,32619,미국,미국,이십세기폭스코리아(주)
2011.02,5,라푼젤,2011-02-10,8601612900,8.0%,8662552900,861034,866570,328,18522,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
2011.02,6,글러브,2011-01-20,6113978500,5.7%,13751864500,834092,1886961,403,25276,한국,한국,씨제이엔터테인먼트
2011.02,7,만추,2011-02-17,5636712000,5.3%,5636712000,754619,754619,444,20427,한국,"한국,미국,홍콩",씨제이엔터테인먼트
2011.02,8,생텀,2011-02-10,4820619500,4.5%,4824075500,464045,464477,323,16899,미국,"미국,호주",(주)시너지하우스 (시너지)
2011.02,9,언노운,2011-02-17,3220597000,3.0%,3220597000,427013,427013,186,10475,미국,미국,워너브러더스 코리아(주)
2011.02,10,그대를 사랑합니다,2011-02-17,3011107000,2.8%,3045225000,409252,414027,263,12533,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2011.02,11,블랙 스완,2011-02-24,3026565500,2.8%,3026565500,392191,392191,288,7890,미국,미국,"(주)영화사 그램,이십세기폭스코리아(주)"
2011.02,12,아이 엠 넘버 포,2011-02-24,2648228000,2.5%,2648228000,352423,352423,284,8223,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
2011.02,13,친구와 연인사이,2011-02-10,2077189500,1.9%,2077189500,265122,265122,183,8947,미국,미국,씨제이엔터테인먼트
2011.02,14,127시간,2011-02-17,1289495500,1.2%,1293607500,174313,174827,233,9724,미국,미국,이십세기폭스코리아(주)
2011.02,15,상하이,2011-01-27,1266136000,1.2%,2039939000,167154,269157,223,8910,미국,미국,(주)넥스트엔터테인먼트월드(NEW)
2011.02,16,메카닉,2011-02-24,1112503500,1.0%,1112503500,144441,144441,226,6195,미국,미국,씨너스엔터테인먼트(주)
