date,순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
2014.12,1,국제시장,2014-12-17,41004112596,24.3%,41089567596,5334560,5345677,966,63555,한국,한국,씨제이이앤엠(주)
2014.12,2,"님아, 그 강을 건너지 마오",2014-11-27,29295212879,17.4%,29845829479,3777530,3846378,806,65089,한국,한국,"CGV아트하우스,(주)대명문화공장"
2014.12,3,호빗: 다섯 군대 전투,2014-12-17,21428483344,12.7%,21428483344,2509887,2509887,926,43833,미국,"미국,뉴질랜드",워너브러더스 코리아(주)
2014.12,4,인터스텔라,2014-11-06,14162387374,8.4%,80671424300,1786792,10105247,870,45504,미국,"미국,영국",워너브러더스 코리아(주)
2014.12,5,기술자들,2014-12-24,13652480148,8.1%,13652480148,1778083,1778083,641,24416,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
2014.12,6,엑소더스: 신들과 왕들,2014-12-03,12438481926,7.4%,12442681926,1510495,1511195,865,43738,미국,"미국,영국,스페인",이십세기폭스코리아(주)
2014.12,7,상의원,2014-12-24,5293724564,3.1%,5293724564,676632,676632,466,13809,한국,한국,"(주)쇼박스,(주)와우픽쳐스"
2014.12,8,빅매치,2014-11-27,4604539300,2.7%,8952096578,613639,1177438,626,25394,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2014.12,9,눈의 여왕 2: 트롤의 마법거울,2014-12-24,3623421700,2.2%,3623421700,498320,498320,479,6508,러시아,러시아,씨네그루(주)다우기술
2014.12,10,퓨리,2014-11-20,2586872364,1.5%,10367640686,343978,1362114,455,14994,미국,"미국,영국",소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
2014.12,11,숲속으로,2014-12-24,2409562888,1.4%,2409562888,317406,317406,356,7709,미국,미국,월트디즈니컴퍼니코리아(주)
2014.12,12,"러브, 로지",2014-12-10,2190098646,1.3%,2223782646,287920,292177,379,11892,영국,"영국,독일",(주)넥스트엔터테인먼트월드(NEW)
2014.12,13,사랑에 대한 모든 것,2014-12-10,2124639846,1.3%,2124639846,273336,273336,399,12417,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
2014.12,14,뽀로로 극장판 눈요정 마을 대모험,,1160549300,0.7%,1160549300,231875,231875,181,4990,한국,한국,
2014.12,15,덕수리 5형제,2014-12-04,1560183200,0.9%,1590807200,206953,210777,346,10701,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
2014.12,16,일곱난쟁이,2014-12-24,1317916900,0.8%,1317916900,184661,184661,263,2847,독일,독일,메가박스중앙(주)플러스엠
2014.12,17,하울의 움직이는 성,2004-12-23,1331925317,0.8%,16484183817,179256,2613006,331,6354,일본,일본,"(주)이수C&E,(주)시네마서비스"
2014.12,18,마다가스카의 펭귄,2014-12-31,1048496800,0.6%,1048496800,148890,148890,509,1497,미국,미국,씨제이이앤엠(주)
2014.12,19,테이큰 3,2015-01-01,1013909000,0.6%,1013909000,145627,145627,502,1688,미국,미국,이십세기폭스코리아(주)
2014.12,20,헝거게임: 모킹제이,2014-11-20,610327200,0.4%,6400058044,82161,854377,369,5435,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
2014.12,21,꾸뻬씨의 행복여행,2014-11-27,524794683,0.3%,899446783,72796,122414,224,3070,영국,"영국,독일,캐나다,남아프리카공화국",그린나래미디어(주)
2014.12,22,덤 앤 더머 투,2014-11-27,450174000,0.3%,1436861585,62718,192726,340,4238,미국,미국,씨네그루(주)다우기술
2014.12,23,개를 훔치는 완벽한 방법,2014-12-31,308655900,0.2%,308655900,42892,42892,205,818,한국,한국,"(주)리틀빅픽쳐스,(주)대명문화공장"
2014.12,24,카트,2014-11-13,292596000,0.2%,5912676633,41528,812490,218,1924,한국,한국,(주)리틀빅픽쳐스
2014.12,25,마미,2014-12-18,271299800,0.2%,274751200,34739,35122,84,1614,캐나다,"캐나다,프랑스",(주)엣나인필름
2014.12,26,무드 인디고,2014-12-11,260541200,0.2%,265843200,32728,33384,55,1416,프랑스,"프랑스,벨기에",(주)프레인글로벌
2014.12,27,꼬마 잠수함 올리 2,2014-12-04,203040700,0.1%,212760700,32374,33589,186,1198,미국,미국,예지림엔터테인먼트
