date,순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
2012.01,1,미션임파서블:고스트프로토콜,2011-12-15,19209419000,14.8%,56974467000,2490357,7465518,697,51116,미국,미국,씨제이이앤엠(주)
2012.01,2,댄싱퀸,2012-01-18,17405023500,13.4%,17405023500,2300976,2300976,544,33269,한국,한국,씨제이이앤엠(주)
2012.01,3,부러진 화살,2012-01-18,15795054500,12.2%,15853698000,2081235,2090074,530,30767,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2012.01,4,장화신은 고양이,2012-01-12,16396602500,12.6%,16396602500,1922360,1922360,593,39028,미국,미국,씨제이이앤엠(주)
2012.01,5,잃어버린 세계를 찾아서 2: 신비의 섬,2012-01-19,9254459500,7.1%,9254459500,1077978,1077978,398,22467,미국,미국,워너브러더스 코리아(주)
2012.01,6,원더풀 라디오,2012-01-05,7169852500,5.5%,7231854500,974093,982910,474,28791,한국,한국,(주)쇼박스
2012.01,7,셜록홈즈 : 그림자 게임,2011-12-21,7147943000,5.5%,16650248000,946495,2236352,360,24957,미국,미국,워너브러더스 코리아(주)
2012.01,8,퍼펙트 게임,2011-12-21,5218081000,4.0%,11214489000,694533,1506305,396,21196,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
2012.01,9,마이 웨이,2011-12-21,4180587000,3.2%,15994426000,556531,2142573,588,22537,한국,"한국,일본,중국","에스케이플래닛(주),씨제이이앤엠(주)"
2012.01,10,페이스메이커,2012-01-18,3322612500,2.6%,3322612500,450072,450072,412,20108,한국,한국,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트"
2012.01,11,밀레니엄 : 여자를 증오한 남자들,2012-01-11,3423233500,2.6%,3423233500,433748,433748,321,11592,미국,"미국,스웨덴,영국,독일",한국소니픽쳐스릴리징브에나비스타영화㈜
2012.01,12,점박이:한반도의 공룡3D,2012-01-26,3835494500,3.0%,3835494500,416800,416800,457,6435,한국,한국,씨제이이앤엠(주)
2012.01,13,프렌즈: 몬스터섬의비밀,2011-12-29,2659569500,2.0%,3745853000,363091,510908,290,10058,일본,일본,"(주)스마일이엔티,(주)에스비에스콘텐츠허브"
2012.01,14,네버엔딩 스토리,2012-01-18,2076190000,1.6%,2076190000,279220,279220,269,13135,한국,한국,(주)화앤담이엔티
2012.01,15,우리는 동물원을 샀다,2012-01-18,1929211500,1.5%,1929211500,267290,267290,235,9782,미국,미국,이십세기폭스코리아(주)
2012.01,16,오싹한 연애,2011-12-01,1719899000,1.3%,22009712500,231175,3009173,243,7436,한국,한국,씨제이이앤엠(주)
2012.01,17,코알라 키드 : 영웅의 탄생,2012-01-12,1406061000,1.1%,1410753000,199702,200467,234,6441,한국,"한국,미국",롯데쇼핑㈜롯데엔터테인먼트
2012.01,18,라이온 킹,1994-07-02,1821414500,1.4%,3155924000,170031,295566,244,6293,미국,미국,브에나비스타인터내셔널코리아/월트디즈니
2012.01,19,다크아워,2012-01-05,1319649000,1.0%,1319649000,162604,162604,324,10423,미국,미국,이십세기폭스코리아(주)
2012.01,20,극장판 포켓몬스터 베스트 위시「비크티니와 백의 영웅 레시라무」,2011-12-22,654481500,0.5%,2383792000,98014,359771,186,2790,일본,일본,씨제이이앤엠(주)
2012.01,21,초한지 - 천하대전,2012-01-11,705371500,0.5%,705371500,94026,94026,167,3819,중국,"중국,홍콩",KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)
2012.01,22,극장판 포켓몬스터 베스트 위시 「비크티니와 흑의 영웅 제크로무」,2011-12-22,528197000,0.4%,1998356500,76642,293895,175,2273,일본,일본,씨제이이앤엠(주)
2012.01,23,앨빈과 슈퍼밴드3,2011-12-15,483372000,0.4%,3763017000,73191,569751,169,2129,미국,미국,이십세기폭스코리아(주)
2012.01,24,오페라의 유령 : 25주년 특별 공연,,716198000,0.6%,1300546000,36266,66121,24,597,영국,영국,유니버설픽쳐스인터내셔널 코리아(유)
2012.01,25,파파,2012-02-01,133926500,0.1%,133926500,25123,25123,25,144,한국,"한국,미국",롯데쇼핑㈜롯데엔터테인먼트
2012.01,26,진짜로 일어날지도 몰라 기적,2011-12-22,166591400,0.1%,279555400,21204,36127,23,801,일본,일본,(주)미로비젼
2012.01,27,자전거 탄 소년,2012-01-19,107756300,0.1%,113548800,13600,14291,20,571,벨기에,"벨기에,프랑스",(주)티캐스트
2012.01,28,여성다큐멘터리스트-반이다1,,97599500,0.1%,97613500,13140,13142,67,1094,한국,한국,
