date,순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
2011.08,1,최종병기 활,2011-08-10,34803883500,23.1%,34822888500,4650046,4653703,615,61129,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
2011.08,2,7광구,2011-08-04,19310330500,12.8%,19387957000,2231753,2242084,812,47218,한국,한국,씨제이이앤엠(주)
2011.08,3,블라인드,2011-08-10,15382354000,10.2%,15408100000,1982176,1986542,404,36702,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2011.08,4,혹성탈출: 진화의 시작,2011-08-17,14402849500,9.6%,14402849500,1939827,1939827,514,37348,미국,미국,이십세기폭스코리아(주)
2011.08,5,퀵,2011-07-20,12104852500,8.0%,22882095000,1670902,3114186,514,31089,한국,한국,씨제이이앤엠(주)
2011.08,6,마당을 나온 암탉,2011-07-28,10732402000,7.1%,12963659500,1613173,1950949,363,26823,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
2011.08,7,고지전,2011-07-20,9566788500,6.3%,21959144100,1299964,2943879,521,23735,한국,한국,(주)쇼박스
2011.08,8,개구쟁이 스머프,2011-08-11,7298267000,4.8%,7298267000,968629,968629,399,16196,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
2011.08,9,명탐정 코난 : 침묵의 15분,2011-08-03,4199131500,2.8%,4202461500,642602,643020,275,11945,일본,일본,(주)미디어데이
2011.08,10,해리포터와 죽음의 성물2,2011-07-13,4724299500,3.1%,34493098000,637013,4398514,428,14026,미국,미국,워너브러더스 코리아(주)
2011.08,11,리오,2011-07-27,2707353500,1.8%,5015288000,360118,644192,324,7695,미국,미국,이십세기폭스코리아(주)
2011.08,12,카우보이 & 에이리언,2011-08-11,1930249000,1.3%,1930249000,256346,256346,269,8244,미국,미국,씨제이이앤엠(주)
2011.08,13,세 얼간이,2011-08-18,1776915500,1.2%,1779602500,244158,244477,232,7704,인도,인도,필라멘트픽쳐스
2011.08,14,퍼스트 어벤져,2011-07-28,1483996000,1.0%,4161976500,191481,514309,339,7160,미국,미국,씨제이이앤엠(주)
2011.08,15,트랜스포머 3,2011-06-29,1391799000,0.9%,74839315500,162254,7784606,316,4031,미국,미국,씨제이이앤엠(주)
2011.08,16,써니,2011-05-04,990134000,0.7%,53989017600,132552,7353975,146,3084,한국,한국,씨제이이앤엠(주)
2011.08,17,로맨틱 크라운,2011-08-17,856269500,0.6%,856269500,114383,114383,239,8142,미국,미국,(주)싸이더스
2011.08,18,카 2,2011-07-20,713053500,0.5%,3680387000,98983,465535,192,2243,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
2011.08,19,기생령,2011-08-05,746326000,0.5%,750901000,96077,96992,207,5777,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
2011.08,20,콜롬비아나,2011-08-31,518444500,0.3%,518444500,69901,69901,357,2507,미국,"미국,프랑스","(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트"
2011.08,21,극장판 도라에몽: 진구와 철인군단 날아라 천사들,2011-07-28,450591000,0.3%,937570000,66985,138277,146,1528,일본,일본,에이원엔터테인먼트
2011.08,22,돈비 어프레이드 : 어둠 속의 속삭임,2011-08-25,474417500,0.3%,474417500,64005,64005,233,5784,미국,"미국,호주,멕시코",(주)화앤담이엔티
2011.08,23,푸른소금,2011-08-31,444966000,0.3%,444966000,62786,62786,427,2067,한국,"한국,필리핀",씨제이이앤엠(주)
2011.08,24,써니 감독판,2011-07-28,428194000,0.3%,675222500,55128,86000,54,1107,한국,한국,씨제이이앤엠(주)
2011.08,25,내 여자친구의 결혼식,2011-08-25,393325500,0.3%,393325500,51362,51362,166,3431,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
2011.08,26,행오버 2,2011-08-25,396539000,0.3%,396539000,50539,50539,157,4130,미국,미국,워너브러더스 코리아(주)
2011.08,27,별을 쫓는 아이,2011-08-25,303419500,0.2%,305747500,42442,42791,139,2009,일본,일본,"(주)박수엔터테인먼트,에이원엔터테인먼트"
2011.08,28,샤오린 : 최후의 결전,2011-08-25,300762000,0.2%,300762000,41308,41308,182,3838,홍콩,"홍콩,중국",(주)에스비에스콘텐츠허브
2011.08,29,그을린 사랑,2011-07-21,290835900,0.2%,466332800,37013,59259,22,1047,캐나다,캐나다,(주)티캐스트
2011.08,30,드라이브 앵그리 3D,2011-08-25,235180000,0.2%,235180000,28117,28117,160,3087,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
2011.08,31,원라이프,2011-08-17,162542000,0.1%,162542000,24157,24157,158,2591,영국,영국,씨제이이앤엠(주)
2011.08,32,바니버디,2011-07-20,151365000,0.1%,1207921000,22868,181837,94,662,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
2011.08,33,양과자점 코안도르,2011-07-28,95335300,0.1%,116602300,12229,14956,11,389,일본,일본,(주)영화사 조제
2011.08,34,재스퍼,2011-08-17,62951500,0.0%,62951500,9691,9691,86,944,독일,"독일,프랑스,루마니아",(주)시너지하우스 (시너지)
2011.08,35,사라의 열쇠,2011-08-11,70816500,0.0%,72877000,9281,9539,15,510,프랑스,프랑스,(주)미디어데이
2011.08,36,이티,1984-06-23,57832500,0.0%,57832500,7491,7491,11,403,미국,미국,UIP코리아
2011.08,37,통증,2011-09-07,37266000,0.0%,39829000,6705,7171,16,43,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
2011.08,38,챔프,2011-09-07,44493500,0.0%,44493500,6603,6603,19,27,한국,한국,(주)쇼박스
2011.08,39,헤어드레서,2011-07-14,40811500,0.0%,105145500,5173,13367,13,244,독일,독일,(주)영화사 진진
2011.08,40,샤넬과 스트라빈스키,2011-08-25,37855000,0.0%,37855000,4966,4966,20,243,프랑스,"프랑스,일본,스위스",주식회사 마운틴픽쳐스
2011.08,41,서태지 모아이 : 더 필름,2011-08-26,46218000,0.0%,46218000,4639,4639,1,17,한국,한국,(주)서태지컴퍼니
2011.08,42,가문의 영광4 - 가문의 수난,2011-09-07,30184000,0.0%,30184000,4312,4312,10,12,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2011.08,43,홍길동 2084,2011-08-18,30933500,0.0%,30933500,4304,4304,36,410,한국,한국,타임스토리그룹(주)
2011.08,44,간츠: 퍼펙트 앤서,2011-08-11,34351500,0.0%,34351500,4244,4244,12,272,일본,일본,주식회사 마운틴픽쳐스
2011.08,45,인 어 베러 월드,2011-06-23,29465500,0.0%,350427000,3929,48218,11,129,덴마크,"덴마크,스웨덴","㈜씨에이엔,(주)엣나인필름"
2011.08,46,소중한 날의 꿈,2011-06-23,22468900,0.0%,346765100,3501,48946,13,230,한국,한국,에이원엔터테인먼트
2011.08,47,퍼블릭 에너미 넘버원,2011-08-25,24958000,0.0%,24958000,3162,3162,35,438,프랑스,"프랑스,캐나다,이탈리아",예지림엔터테인먼트
2011.08,48,선물 가게를 지나야 출구,2011-08-18,24013400,0.0%,24013400,3086,3086,13,230,미국,"미국,영국",(주)영화사 조제
2011.08,49,피크닉,,6173000,0.0%,6173000,3044,3044,1,24,미국,미국,
2011.08,50,대부,1973-09-01,5706000,0.0%,157016500,2778,22468,1,19,미국,미국,
2011.08,51,감자,1988-03-01,5469000,0.0%,5469000,2722,2722,1,24,한국,한국,
2011.08,52,간츠,2011-07-28,17021500,0.0%,42883500,2316,5798,17,200,일본,일본,주식회사 마운틴픽쳐스
2011.08,53,셰인,,4448000,0.0%,4448000,2209,2209,1,22,미국,미국,
2011.08,54,고양이: 죽음을 보는 두 개의 눈,2011-07-07,13008500,0.0%,4779530000,1828,672071,11,97,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2011.08,55,킬리만자로의 눈,,3616000,0.0%,7097000,1798,3527,1,14,미국,미국,
2011.08,56,쿵푸팬더 2,2011-05-26,6501000,0.0%,44295550000,1795,5062259,2,53,미국,미국,씨제이이앤엠(주)
2011.08,57,타이페이 카페 스토리,2011-07-07,12301400,0.0%,76191900,1623,9942,10,96,대만,대만,찬란
2011.08,58,바람과 함께 사라지다,1972-12-23,3202000,0.0%,6776500,1601,2014,1,7,미국,미국,(주)피터팬픽쳐스
2011.08,59,남태평양,1971-08-07,3034000,0.0%,3034000,1517,1517,1,8,미국,미국,
2011.08,60,플레이,2011-06-23,9815000,0.0%,88978000,1314,12304,8,87,한국,한국,(주)영화사 진진
2011.08,61,파리넬리,1995-04-08,9340000,0.0%,33138500,1192,5643,5,78,프랑스,"프랑스,이탈리아,벨기에",(주)블룸즈베리리소시스리미티드
2011.08,62,닷핵퀀텀 : 숨겨진 몬스터의 비밀,2011-08-18,6960000,0.0%,6960000,1067,1067,35,284,일본,일본,팝엔터테인먼트
2011.08,63,요화 배정자,,1990000,0.0%,1990000,995,995,1,8,한국,한국,
2011.08,64,뽕똘,2011-08-25,6386500,0.0%,6560500,812,841,13,154,한국,한국,(주)영화사 진진
2011.08,65,코파카바나,2011-05-26,6189000,0.0%,100446500,757,12750,1,17,프랑스,프랑스,(주)티캐스트
2011.08,66,세 얼간이 감독판,2011-08-18,6054000,0.0%,6054000,742,742,1,13,인도,인도,"와이드 릴리즈(주),필라멘트픽쳐스"
2011.08,67,북촌방향,2011-09-08,4945000,0.0%,4945000,736,736,3,12,한국,한국,(주)영화제작전원사
2011.08,68,일루셔니스트,2011-06-16,5354000,0.0%,120379100,712,15458,3,49,프랑스,프랑스,(주)에스와이코마드
2011.08,69,겨울냄새,2011-08-18,5291000,0.0%,5291000,658,658,4,85,한국,"한국,캐나다,오스트리아",크리에이티브컴즈(주)
2011.08,70,극장판 메이저 : 우정의 강속구,2011-10-20,4592000,0.0%,5964000,656,852,2,3,일본,일본,에이원엔터테인먼트
2011.08,71,마마,2011-06-01,3200000,0.0%,1639907500,640,242584,1,3,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
2011.08,72,에일리언 비키니,2011-08-25,4707900,0.0%,5016900,620,659,10,138,한국,한국,㈜인디스토리
2011.08,73,천년호,,1218000,0.0%,1218000,609,609,1,5,한국,한국,
2011.08,74,을화,1979-09-28,1194000,0.0%,1194000,597,597,1,5,한국,한국,
2011.08,75,러브 미 텐더,,1180000,0.0%,1180000,590,590,1,4,미국,미국,
2011.08,76,태양은 가득히,1973-02-03,1174000,0.0%,6460000,587,2663,1,4,프랑스,"프랑스,이탈리아",
2011.08,77,해저 2만리,,1142000,0.0%,6630000,571,3183,1,6,미국,미국,
2011.08,78,심장이 뛰네,2011-07-28,3396500,0.0%,4191500,554,655,5,107,한국,한국,(주)키노아이디엠씨
2011.08,79,링크,2011-07-28,3760500,0.0%,6099500,539,829,6,98,한국,한국,(주)키노아이디엠씨
2011.08,80,CINDI2011_서프라이즈,,2381000,0.0%,2381000,475,475,1,2,한국,한국,
2011.08,81,음모자,2011-06-30,3235500,0.0%,263429000,474,34612,7,75,미국,미국,판씨네마(주)
2011.08,82,십년세도(十年勢道),1964-08-05,860000,0.0%,860000,430,430,1,5,한국,한국,
2011.08,83,어이그 저 귓것,2011-08-25,3428500,0.0%,3428500,422,422,6,48,한국,한국,(주)영화사 진진
2011.08,84,종로의 기적,2011-06-02,2718500,0.0%,47401900,406,6253,3,20,한국,한국,시네마달
2011.08,85,환타스틱 모던가야그머,2011-08-18,2640500,0.0%,2640500,387,387,8,103,한국,한국,주식회사 마운틴픽쳐스
2011.08,86,고 녀석 맛나겠다,2011-07-07,2629500,0.0%,409539500,380,59588,3,25,일본,일본,(주)화앤담이엔티
2011.08,88,현기증,,1987000,0.0%,1987000,346,346,1,3,미국,미국,(주)영화사 안다미로
2011.08,89,티파니에서 아침을,2011-08-26,2996500,0.0%,5254500,343,1472,2,6,미국,미국,주식회사 마운틴픽쳐스
2011.08,90,바다,2011-09-01,2711000,0.0%,2711000,340,340,1,5,한국,한국,주식회사 마운틴픽쳐스
2011.08,91,파퍼씨네 펭귄들,2011-09-07,2592000,0.0%,5184000,324,648,1,1,미국,미국,이십세기폭스코리아(주)
