date,순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
2017.06,141,정글북,2017-05-18,2370500,0.0%,74842400,412,9891,4,17,인도,인도,(주)팝엔터테인먼트
2017.06,142,격퇴,1956-04-04,674000,0.0%,674000,401,401,1,6,한국,한국,
2017.06,143,아메리칸 패스토럴,2017-05-25,2843500,0.0%,18100900,400,2409,10,121,미국,미국,(주)드림팩트엔터테인먼트
2017.06,144,재꽃,2017-07-06,2576000,0.0%,4288500,398,666,1,3,한국,한국,딥 포커스
2017.06,145,자니 기타,,750000,0.0%,10110000,394,4651,1,6,미국,미국,
2017.06,145,너의 이름은.,2017-01-04,3492000,0.0%,29397300856,394,3653013,1,6,일본,일본,메가박스중앙(주)플러스엠
2017.06,147,일 포스티노,1996-03-09,2663400,0.0%,110451600,393,14686,2,13,이탈리아,"이탈리아,프랑스",(주)영화사 진진
2017.06,148,돌아온 론 레인저,,671000,0.0%,671000,378,378,1,6,미국,미국,
2017.06,149,자전거 도둑,,644000,0.0%,4435000,377,1899,2,18,이탈리아,이탈리아,
2017.06,149,영광의 탈출,,754000,0.0%,7407016,377,5693,1,6,미국,미국,
2017.06,151,신사는 금발을 좋아해,,752000,0.0%,14126000,371,6175,1,8,미국,미국,
2017.06,152,슈퍼 빼꼼: 스파이 대작전,2017-05-03,2021000,0.0%,708419900,365,98937,3,19,한국,한국,메가박스중앙(주)플러스엠
2017.06,153,피아골,1955-09-23,724000,0.0%,1300000,362,650,1,10,한국,한국,
2017.06,154,유황도의 모래,1971-03-17,723000,0.0%,2779000,354,1137,1,8,미국,미국,
2017.06,155,헤라클레스,,702000,0.0%,2718000,351,1359,1,5,이탈리아,"이탈리아,스페인",
2017.06,156,나의 길을 가련다,,698000,0.0%,1871000,349,926,1,6,미국,미국,
2017.06,157,원한의 도곡리 다리,,659000,0.0%,10532000,347,4873,1,6,미국,미국,
