date,category,전체,한국,외국
2006.10,관객수,11813202,10082105,1731097
2006.10,스크린수,3693,2595,1098
2006.10,상영횟수,247108,194567,52541
2006.11,매출액,45829202400,25467043500,20362158900
2006.11,관객수,7657176,4254438,3402738
2006.11,스크린수,5266,3099,2167
2006.11,상영횟수,237676,139933,97743
2006.12,매출액,88934532000,50008501600,38926030400
2006.12,관객수,14931078,8447029,6484049
2006.12,스크린수,5793,3137,2656
2006.12,상영횟수,302657,174248,128409
2007.01,매출액,89205422300,49036141400,40169280900
2007.01,관객수,15013145,8272156,6740989
2007.01,스크린수,6247,3153,3094
2007.01,상영횟수,330218,172043,158175
2007.02,매출액,77968890600,59349353800,18619536800
2007.02,관객수,12946114,9890082,3056032
2007.02,스크린수,5730,3158,2572
2007.02,상영횟수,305232,209200,96032
2007.03,매출액,58453879100,16382825800,42071053300
2007.03,관객수,9431453,2704924,6726529
2007.03,스크린수,5219,2278,2941
2007.03,상영횟수,301096,112081,189015
2007.04,매출액,49016620000,29310544300,19706075700
2007.04,관객수,7674190,4583706,3090484
2007.04,스크린수,5604,2723,2881
2007.04,상영횟수,291422,158261,133161
2007.05,매출액,77896103000,20781634000,57114469000
2007.05,관객수,12159594,3247583,8912011
2007.05,스크린수,5187,1964,3223
2007.05,상영횟수,288316,118188,170128
2007.06,매출액,72635254000,21395710800,51239543200
2007.06,관객수,11202155,3287780,7914375
2007.06,스크린수,5525,1679,3846
2007.06,상영횟수,291748,100861,190887
2007.07,매출액,111226232538,21025392500,90200840038
2007.07,관객수,17409970,3254651,14155319
2007.07,스크린수,5970,1723,4247
2007.07,상영횟수,313985,73293,240692
2007.08,매출액,132251523800,104502274700,27749249100
2007.08,관객수,20741043,16364639,4376404
2007.08,스크린수,6284,3225,3059
2007.08,상영횟수,367069,256709,110360
2007.09,매출액,73921866200,49651661500,24270204700
2007.09,관객수,11237219,7590383,3646836
2007.09,스크린수,5917,4091,1826
2007.09,상영횟수,334604,234951,99653
2007.10,매출액,56532719000,35946503600,20586215400
2007.10,관객수,8655414,5502608,3152806
2007.10,스크린수,5837,3566,2271
2007.10,상영횟수,342902,190621,152281
2007.11,매출액,62219257500,35190642500,27028615000
2007.11,관객수,9481147,5416668,4064479
2007.11,스크린수,6120,2826,3294
2007.11,상영횟수,326462,170003,156459
2007.12,매출액,104158856500,37285875000,66872981500
2007.12,관객수,16071548,5675823,10395725
2007.12,스크린수,6903,2884,4019
2007.12,상영횟수,361987,152549,209438
2008.01,매출액,83246907501,41841424501,41405483000
2008.01,관객수,12851835,6398115,6453720
2008.01,스크린수,7470,3447,4023
2008.01,상영횟수,369756,162207,207549
2008.02,매출액,84376807500,58690874500,25685933000
2008.02,관객수,12845088,8873665,3971423
2008.02,스크린수,6736,3253,3483
2008.02,상영횟수,344000,210884,133116
2008.03,매출액,63574626200,29335508200,34239118000
2008.03,관객수,9606955,4398678,5208277
2008.03,스크린수,5925,1605,4320
2008.03,상영횟수,337819,129598,208221
2008.04,매출액,48135181600,11110081100,37025100500
2008.04,관객수,7330006,1690241,5639765
2008.04,스크린수,6745,1875,4870
2008.04,상영횟수,325011,82279,242732
2008.05,매출액,83444699300,6639904700,76804794600
2008.05,관객수,12870573,999474,11871099
2008.05,스크린수,6204,1144,5060
2008.05,상영횟수,331177,48858,282319
2008.06,매출액,93314547100,23314206300,70000340800
2008.06,관객수,14227212,3520968,10706244
2008.06,스크린수,7315,1879,5436
2008.06,상영횟수,338993,73466,265527
2008.07,매출액,110657981600,53299314600,57358667000
2008.07,관객수,17033494,8174190,8859304
2008.07,스크린수,7685,3086,4599
2008.07,상영횟수,363175,142528,220647
2008.08,매출액,112503979500,46830186600,65673792900
2008.08,관객수,17369947,7215335,10154612
2008.08,스크린수,6536,2785,3751
2008.08,상영횟수,378368,171539,206829
2008.09,매출액,71797310300,38087149700,33710160600
2008.09,관객수,10945140,5795292,5149848
2008.09,스크린수,7440,3210,4230
2008.09,상영횟수,327315,157266,170049
2008.10,매출액,56738175300,25253746100,31484429200
2008.10,관객수,8744625,3839803,4904822
2008.10,스크린수,7555,3391,4164
2008.10,상영횟수,342834,163899,178935
2008.11,매출액,61708618450,29730749600,31977868850
2008.11,관객수,9472588,4533344,4939244
2008.11,스크린수,6182,2627,3555
2008.11,상영횟수,335646,142242,193404
2008.12,매출액,91954462900,43194078400,48760384500
2008.12,관객수,14131176,6608219,7522957
2008.12,스크린수,7615,3240,4375
2008.12,상영횟수,364002,169620,194382
2009.01,매출액,109691065500,50755305000,58935760500
2009.01,관객수,16525594,7535688,8989906
2009.01,스크린수,6524,1614,4910
2009.01,상영횟수,374747,141374,233373
2009.02,매출액,72989913800,36676224300,36313689500
2009.02,관객수,11156302,5571657,5584645
2009.02,스크린수,6982,2692,4290
2009.02,상영횟수,327225,151857,175368
2009.03,매출액,52128566700,19413839800,32714726900
2009.03,관객수,7832797,2939700,4893097
2009.03,스크린수,6770,1893,4877
2009.03,상영횟수,348595,130268,218327
2009.04,매출액,52024411950,24160951700,27863460250
2009.04,관객수,7848673,3649254,4199419
2009.04,스크린수,7961,2672,5289
2009.04,상영횟수,338110,114811,223299
2009.05,매출액,106803842700,52647824700,54156018000
2009.05,관객수,16146532,7932251,8214281
2009.05,스크린수,6883,2608,4275
2009.05,상영횟수,364372,174157,190215
2009.06,매출액,85129865000,30914638500,54215226500
2009.06,관객수,12963482,4697252,8266230
2009.06,스크린수,6738,2258,4480
2009.06,상영횟수,355177,138600,216577
2009.07,매출액,114555952900,58940572500,55615380400
2009.07,관객수,16349119,8338377,8010742
2009.07,스크린수,7241,3297,3944
2009.07,상영횟수,354784,181233,173551
2009.08,매출액,154027697000,102754198500,51273498500
2009.08,관객수,21418297,14343962,7074335
2009.08,스크린수,7131,2755,4376
2009.08,상영횟수,394918,209620,185298
2009.09,매출액,60663431200,40721187600,19942243600
2009.09,관객수,8336580,5623379,2713201
2009.09,스크린수,7088,2876,4212
2009.09,상영횟수,353653,187907,165746
2009.10,매출액,68873307500,42392620300,26480687200
2009.10,관객수,9357086,5837194,3519892
2009.10,스크린수,6895,3643,3252
2009.10,상영횟수,375317,218975,156342
2009.11,매출액,78185211700,31656975200,46528236500
2009.11,관객수,10665552,4321561,6343991
2009.11,스크린수,7109,3725,3384
2009.11,상영횟수,326333,181039,145294
2009.12,매출액,128122739000,35448121400,92674617600
2009.12,관객수,16798640,4854572,11944068
2009.12,스크린수,7897,3112,4785
2009.12,상영횟수,364509,131281,233228
2010.01,매출액,134152945800,47476119900,86676825900
2010.01,관객수,16553016,6481317,10071699
2010.01,스크린수,6617,2667,3950
2010.01,상영횟수,374225,159120,215105
2010.02,매출액,104195931600,55215870700,48980060900
2010.02,관객수,13214326,7549613,5664713
2010.02,스크린수,6522,2423,4099
2010.02,상영횟수,346716,178206,168510
2010.03,매출액,67527097200,21248390100,46278707100
2010.03,관객수,8414528,2912277,5502251
2010.03,스크린수,6632,2061,4571
2010.03,상영횟수,360821,131508,229313
2010.04,매출액,57208944250,18224129300,38984814950
2010.04,관객수,7463318,2576298,4887020
2010.04,스크린수,6883,2780,4103
2010.04,상영횟수,343770,134449,209321
2010.05,매출액,102011728750,37465952400,64545776350
2010.05,관객수,13311089,5125739,8185350
2010.05,스크린수,6952,2975,3977
2010.05,상영횟수,369584,175275,194309
2010.06,매출액,84154380450,40084288150,44070092300
2010.06,관객수,10772827,5421000,5351827
2010.06,스크린수,7019,2889,4130
2010.06,상영횟수,342482,145521,196961
2010.07,매출액,128925224200,46373278200,82551946000
2010.07,관객수,16717978,6340043,10377935
2010.07,스크린수,7156,2756,4400
2010.07,상영횟수,377982,151267,226715
2010.08,매출액,154887712200,59836018500,95051693700
2010.08,관객수,19376481,7968306,11408175
2010.08,스크린수,7673,2539,5134
2010.08,상영횟수,399645,149982,249663
2010.09,매출액,95484002700,53920864100,41563138600
2010.09,관객수,11722766,7172784,4549982
2010.09,스크린수,7983,3573,4410
2010.09,상영횟수,373338,203680,169658
2010.10,매출액,59625517400,35546619000,24078898400
2010.10,관객수,7875458,4751223,3124235
2010.10,스크린수,6867,3538,3329
2010.10,상영횟수,358679,198150,160529
2010.11,매출액,63025518100,40786029300,22239488800
2010.11,관객수,8418503,5478352,2940151
2010.11,스크린수,7683,3970,3713
2010.11,상영횟수,348071,204318,143753
2010.12,매출액,106055735600,52249129800,53806605800
2010.12,관객수,13918924,7066223,6852701
2010.12,스크린수,8572,3675,4897
2010.12,상영횟수,368165,162764,205401
2011.01,매출액,97087328600,59256908000,37830420600
2011.01,관객수,12380925,8025283,4355642
2011.01,스크린수,8207,3781,4426
2011.01,상영횟수,284762,160061,124701
2011.02,매출액,107337670800,63265662200,44072008600
2011.02,관객수,13553585,8528145,5025440
2011.02,스크린수,7617,3320,4297
2011.02,상영횟수,346450,189603,156847
2011.03,매출액,63109424500,20138418600,42971005900
2011.03,관객수,8403967,2749206,5654761
2011.03,스크린수,8993,3491,5502
2011.03,상영횟수,353477,123216,230261
2011.04,매출액,57340891400,30781043700,26559847700
2011.04,관객수,7518856,4165262,3353594
2011.04,스크린수,8752,3672,5080
2011.04,상영횟수,330310,159127,171183
2011.05,매출액,111350573800,37779112100,73571461700
2011.05,관객수,13864333,5179519,8684814
2011.05,스크린수,8515,2869,5646
2011.05,상영횟수,363330,136530,226800
2011.06,매출액,101096290200,30440256000,70656034200
2011.06,관객수,12698899,4168252,8530647
2011.06,스크린수,8190,2430,5760
2011.06,상영횟수,357177,124577,232600
2011.07,매출액,152163023300,43659919300,108503104000
2011.07,관객수,18333347,5944260,12389087
2011.07,스크린수,8134,2743,5391
2011.07,상영횟수,357636,131315,226321
2011.08,매출액,150669146400,104828265900,45840880500
2011.08,관객수,20061970,13844488,6217482
2011.08,스크린수,10239,4332,5907
2011.08,상영횟수,401606,240795,160811
2011.09,매출액,100792669000,73671719000,27120950000
2011.09,관객수,13417036,9820541,3596495
2011.09,스크린수,8534,4558,3976
2011.09,상영횟수,369706,236323,133383
2011.10,매출액,93157493400,62686912700,30470580700
2011.10,관객수,12408589,8423022,3985567
2011.10,스크린수,8165,4231,3934
2011.10,상영횟수,359859,228535,131324
2011.11,매출액,76551922500,41243228500,35308694000
2011.11,관객수,10321172,5757459,4563713
2011.11,스크린수,8958,4124,4834
2011.11,상영횟수,353260,187379,165881
2011.12,매출액,125143030300,45971522100,79171508200
2011.12,관객수,16761786,6262752,10499034
2011.12,스크린수,8704,2955,5749
2011.12,상영횟수,369873,159713,210160
2012.01,매출액,129929969100,62491300400,67438668700
2012.01,관객수,16628650,8242562,8386088
2012.01,스크린수,9209,4357,4852
2012.01,상영횟수,398246,192358,205888
2012.02,매출액,99321668920,75105652262,24216016658
2012.02,관객수,13065438,9912005,3153433
2012.02,스크린수,10872,4160,6712
2012.02,상영횟수,367441,229691,137750
2012.03,매출액,87458040352,51755260688,35702779664
2012.03,관객수,11392750,6832444,4560306
2012.03,스크린수,9400,4007,5393
2012.03,상영횟수,380689,196253,184436
2012.04,매출액,93722783872,37381873548,56340910324
2012.04,관객수,11993363,5061100,6932263
2012.04,스크린수,8490,2937,5553
2012.04,상영횟수,351437,160572,190865
2012.05,매출액,123595363006,49605658176,73989704830
2012.05,관객수,15970116,6752629,9217487
2012.05,스크린수,9774,4112,5662
2012.05,상영횟수,374221,177538,196683
2012.06,매출액,108356381929,55734339362,52622042567
2012.06,관객수,14211515,7660710,6550805
2012.06,스크린수,9070,3750,5320
2012.06,상영횟수,388252,207879,180373
2012.07,매출액,154862678714,71512357308,83350321406
2012.07,관객수,20964476,10043083,10921393
2012.07,스크린수,11108,4849,6259
2012.07,상영횟수,392470,184510,207960
2012.08,매출액,175659343701,122141525364,53517818337
2012.08,관객수,24238713,17010728,7227985
2012.08,스크린수,9686,4794,4892
2012.08,상영횟수,415097,259433,155664
2012.09,매출액,107850208078,74226181141,33624026937
2012.09,관객수,14597393,10167464,4429929
2012.09,스크린수,10384,4729,5655
2012.09,상영횟수,386806,235875,150931
2012.10,매출액,111150720292,75370795264,35779925028
2012.10,관객수,15288721,10468559,4820162
2012.10,스크린수,10431,5322,5109
2012.10,상영횟수,395895,254442,141453
2012.11,매출액,113177664498,82784597276,30393067222
2012.11,관객수,15947251,11701351,4245900
2012.11,스크린수,9327,5397,3930
2012.11,상영횟수,371573,257006,114567
2012.12,매출액,150055531973,80128630445,69926901528
2012.12,관객수,20592201,11058956,9533245
2012.12,스크린수,11028,5096,5932
2012.12,상영횟수,392255,225765,166490
2013.01,매출액,150783958482,86677556405,64106402077
2013.01,관객수,20366773,11991567,8375206
2013.01,스크린수,10317,4515,5802
2013.01,상영횟수,397639,203201,194438
2013.02,매출액,158007045117,130894686326,27112358791
2013.02,관객수,21824737,18096302,3728435
2013.02,스크린수,10732,4651,6081
2013.02,상영횟수,379526,269222,110304
2013.03,매출액,97798676448,61201469748,36597206700
2013.03,관객수,13283201,8390158,4893043
2013.03,스크린수,10682,3829,6853
2013.03,상영횟수,389793,215107,174686
2013.04,매출액,84344832946,32054115504,52290717442
2013.04,관객수,11259977,4475650,6784327
2013.04,스크린수,10310,3465,6845
2013.04,상영횟수,368905,174702,194203
2013.05,매출액,104990707821,30544272319,74446435502
2013.05,관객수,14211968,4337853,9874115
2013.05,스크린수,10201,3044,7157
2013.05,상영횟수,391527,147890,243637
2013.06,매출액,128168764751,58033417289,70135347462
2013.06,관객수,17555734,8268359,9287375
2013.06,스크린수,10949,3802,7147
2013.06,상영횟수,389751,166268,223483
2013.07,매출액,135729437892,60270583515,75458854377
2013.07,관객수,18824441,8515299,10309142
2013.07,스크린수,12569,4698,7871
2013.07,상영횟수,421733,183279,238454
2013.08,매출액,205590587104,156147574288,49443012816
2013.08,관객수,29142663,21961332,7181331
2013.08,스크린수,11099,4366,6733
2013.08,상영횟수,462976,313020,149956
2013.09,매출액,137667705112,92193253948,45474451164
2013.09,관객수,19234287,12795168,6439119
2013.09,스크린수,10688,4306,6382
2013.09,상영횟수,404735,225409,179326
2013.10,매출액,99665134711,65631032238,34034102473
2013.10,관객수,13490691,9296245,4194446
2013.10,스크린수,13680,7288,6392
2013.10,상영횟수,423079,287423,135656
2013.11,매출액,98595892217,52266079939,46329812278
2013.11,관객수,13380122,7369028,6011094
