date,배급사,매출액,관객수,상영횟수,매출액 점유율,관객수 점유율,상영횟수 점유율
2011.03,한국소니픽쳐스릴리징브에나비스타영화㈜,12924459900,1660804,53866,20.47944503122509,19.762143283047163,15.238898146131149
2011.03,(주)넥스트엔터테인먼트월드(NEW),8756520000,1183408,45767,13.875138411379428,14.081540301145875,12.947659960902689
2011.03,롯데쇼핑㈜롯데엔터테인먼트,7644709166.666667,1041426.3333333334,45908.0,12.113419235294511,12.392080232268086,12.987549402082738
2011.03,씨제이이앤엠(주),6165111166.666667,847329.3333333334,37519.0,9.76892312917014,10.082492391192558,10.614269103788931
2011.03,이십세기폭스코리아(주),4630321250.0,603144.0,18472.0,7.336972705241513,7.176896339550119,5.225799698424508
2011.03,(주)영화사 그램,4584063250.0,596721.0,18051.0,7.2636746196283255,7.100468147959173,5.1066971825606755
2011.03,(주)화앤담이엔티,4409951000,594823,21201,6.9877851603606365,7.077883575697048,5.997844272753248
2011.03,워너브러더스 코리아(주),3633587500,481870,25899,5.757598851182679,5.733839744968061,7.326926504411885
2011.03,유니버설픽쳐스인터내셔널 코리아(유),2862234500,373344,18875,4.535351926715795,4.442473417613373,5.339809945201527
2011.03,(주)쇼박스,2826187666.6666665,386440.3333333333,19786.0,4.478233939000136,4.598308552774342,5.597535341761982
2011.03,(주)시너지하우스 (시너지),1026211500,136096,11220,1.6260828047956608,1.6194256831327396,3.1741810641144967
2011.03,씨제이엔터테인먼트,783049700.0,105301.0,5869.333333333333,1.24078092329934,1.2529915931369078,1.6604569274191343
2011.03,씨너스엔터테인먼트(주),765686000,101363,6330,1.2132672830822597,1.2061327703928395,1.7907812955298363
2011.03,필라멘트픽쳐스,548256500,72545,2864,0.8687395018156123,0.8632232849081868,0.8102365924798502
2011.03,(주)시네마서비스,502469000,68350,7771,0.7961869466897136,0.8133063825690892,2.1984457263131687
2011.03,㈜케이디미디어,200247000,26629,4018,0.317301261398763,0.3168622627861342,1.1367076217123038
2011.03,대원미디어(주),115896000,11465,889,0.1836429359294823,0.1364236675370096,0.25150151212101496
2011.03,프리비젼엔터테인먼트,98065000,13826,1573,0.15538883578315626,0.16451754272714303,0.44500773741997357
2011.03,(주)싸이더스,81606500,10924,1563,0.1293095296725452,0.12998623150233693,0.4421786990384098
2011.03,퍼즐엔터테인먼트,69399500,8883,1243,0.10996693528713766,0.1057000818779988,0.3516494708283707
2011.03,(주)영화사 진진,60221250.0,8024.5,431.0,0.09542354486214653,0.09548466813351361,0.12193155424539645
2011.03,에이원엔터테인먼트,59729000,8728,190,0.0946435504256579,0.1038557148070667,0.05375172924971073
2011.03,㈜인디스토리,52581500.0,7101.5,726.5,0.08331798367136116,0.0845017597046728,0.20552963842060445
2011.03,주식회사 마운틴픽쳐스,51802000,8689,762,0.08208282742302618,0.1033916482537354,0.21557272467515567
2011.03,no record,50998000,19706,292,0.08080884971467298,0.2344844999986316,0.0826079207416607
2011.03,(주)에스비에스콘텐츠허브,48126000,6155,258,0.07625802387090377,0.07323922142959391,0.07298919024434405
2011.03,(주)영화사 조제,44714750.0,5942.5,529.5,0.0708527297693865,0.07071065367105796,0.1497975823037991
2011.03,(주)키노아이디엠씨,20946000,3117,504,0.03318997149150045,0.03708962683932481,0.14258353443081162
2011.03,(주)티캐스트,18154500,2276,113,0.028766701873505437,0.027082448086719044,0.031968133711670066
2011.03,예지림엔터테인먼트,16481500,2264,248,0.026115750746546578,0.02693965837800172,0.07016015186278032
2011.03,(주)미로비젼,16419500,2236,153,0.026017508684459643,0.026606482390994633,0.043284287237924955
2011.03,(주)에이치엠엔,7350000,294,13,0.01164643800546779,0.0034983478635744287,0.003677749896032839
2011.03,필름메신저,7083000,989,129,0.011223363318738551,0.011768251826786088,0.03649459512217203
2011.03,시네마달,3862500.0,658.5,39.5,0.00612032201307746,0.007835585265863134,0.011174701607176705
2011.03,이미지팩토리,3716000,524,69,0.005888185527662354,0.0062351506139897974,0.019520364832789686
2011.03,(주)서태지컴퍼니,2970000,343,4,0.004706111683842086,0.004081405840836833,0.001131615352625489
2011.03,씨제이 씨지브이(CJ CGV)(주),2910000.0,296.0,15.0,0.004611038720532145,0.003522146148360649,0.0042435575723455835
2011.03,(주)영화사샘,2723000,389,3,0.004314727984882829,0.004628766390919907,0.0008487115144691168
2011.03,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),2189400,343,72,0.0034692124311797522,0.004081405840836833,0.020369076347258805
2011.03,(주)씨네마드마농,1784500,252,74,0.0028276283837764993,0.0029985838830637957,0.02093488402357155
2011.03,㈜영화사 백두대간,1633500,207,59,0.0025883614261131473,0.002463122475373832,0.016691326451225966
2011.03,씨엔티테크(주),1356000,166,9,0.0021486489708046697,0.00197525763725631,0.0025461345434073506
2011.03,(주) 포커스픽쳐,958000,108,3,0.0015179983141820601,0.0012851073784559124,0.0008487115144691168
2011.03,(주)스폰지이엔티,868500,159,31,0.0013761811439113977,0.0018919636405045378,0.00877001898284754
2011.03,(주)에스와이코마드,520500,98,22,0.0008247579567137392,0.0011661159545248096,0.006223884439440191
2011.03,프리포트,335000,41,2,0.0005308240451471713,0.00048786483811752234,0.0005658076763127445
2011.03,(주)소나무픽쳐스,311000,59,25,0.0004927948598231948,0.0007020494011935078,0.007072595953909307
2011.03,(주)이모션픽처스,276000,47,6,0.00043733563122572925,0.0005592596924761841,0.0016974230289382335
2011.03,(주)두엔터테인먼트,134000,24,1,0.00021232961805886852,0.00028557941743464723,0.00028290383815637225
2011.03,아트플러스시네마네트워크,95500.0,11.0,0.5,0.0001513244666016563,0.00013089056632421332,0.00014145191907818613
2011.03,(주)액티버스엔터테인먼트,55000,9,2,8.715021636744605e-05,0.00010709228153799272,0.0005658076763127445
2011.03,(주)미디어데이,45000,12,4,7.130472248245585e-05,0.00014278970871732362,0.001131615352625489
2011.03,(주)드림웨스트픽쳐스,42000,6,1,6.655107431695879e-05,7.139485435866181e-05,0.00028290383815637225
2011.03,(주)에스피엠,0,0,1,0.0,0.0,0.00028290383815637225
2011.03,(주)얼리버드픽쳐스,0.0,0.0,0.3333333333333333,0.0,0.0,9.430127938545741e-05
2011.03,THE 픽쳐스,0.0,0.0,0.3333333333333333,0.0,0.0,9.430127938545741e-05
