date,배급사,매출액,관객수,상영횟수,매출액 점유율,관객수 점유율,상영횟수 점유율
2017.02,씨제이이앤엠(주),48357585244,6059253,151763,39.928448002501106,39.91235983254503,31.360527348996758
2017.02,유니버설픽쳐스인터내셔널 코리아(유),22510608871,2732365,88406,18.586818826357433,17.998115456451796,18.268344595292707
2017.02,CGV아트하우스,8537538168.5,1075789.0,27248.5,7.049372856611301,7.086232852778022,5.630669724960222
2017.02,(주)넥스트엔터테인먼트월드(NEW),8214468376.0,1034781.0,44931.0,6.7826168689844035,6.816112748532002,9.284607277912095
2017.02,오퍼스픽쳐스(유),8065618968.5,1015212.0,24691.5,6.659713175642845,6.687211550717177,5.102287520922447
2017.02,롯데쇼핑㈜롯데엔터테인먼트,4939418945,606052,26225,4.078436330368088,3.9920705574158366,5.4191721943256255
2017.02,판씨네마(주),3868606100,500436,18898,3.1942752460985266,3.2963769139792487,3.905110243216994
2017.02,워너브러더스 코리아(주),3584947326,464147,20029,2.960060602191809,3.0573409097121838,4.138821730415556
2017.02,월트디즈니컴퍼니코리아 유한책임회사,3229095600,418986,17304,2.66623685010621,2.759864953121897,3.5757237617010724
2017.02,이십세기폭스코리아(주),2171858000.0,264287.5,10898.5,1.7932847304979058,1.7408643935554011,2.2520819126733205
2017.02,(주)제이앤씨미디어그룹,1686449300.0,209444.75,6814.5,1.3924868837874675,1.3796146533306064,1.4081582046990269
2017.02,메가박스중앙(주)플러스엠,1597371200,202576,9927,1.3189358521123924,1.334370128700294,2.051329737771992
2017.02,(주)이수C&E,736714600.0,99027.5,6288.0,0.6082989969486369,0.6522951283462421,1.2993614778996962
2017.02,(주)박수엔터테인먼트,492172000,64551,1369,0.4063822461591021,0.4251980796231176,0.28289215382390015
2017.02,(주)리틀빅픽쳐스,452220762,56706,5672,0.37339484777951765,0.3735229865239657,1.1720703407517616
2017.02,THE 픽쳐스,322320900,40289,2169,0.26613763344120217,0.265384044088175,0.448205318951088
2017.02,씨네그루(주)키다리이엔티,286894700,37911,2120,0.23688652056017362,0.24972013441452515,0.4380798875870477
2017.02,(주)삼지애니메이션,258400000,34580,1756,0.21335868844126038,0.2277788042534958,0.36286239745417725
2017.02,(주)크리픽쳐스,185898900,23450,1748,0.153495145072264,0.15446538345125727,0.3612092658029054
2017.02,오드,173926200,21713,1251,0.14360938822589914,0.14302374715894028,0.25850846196764
2017.02,와이드 릴리즈(주),168586000.0,25502.25,1398.0,0.1392000303775477,0.1679835746319755,0.2888847560597607
2017.02,(주)디스테이션,144220150.0,12261.5,765.5,0.11908135468576561,0.08076662256663501,0.15818403488107785
2017.02,no record,125354700,45199,1012,0.10350431262363645,0.29772626296858756,0.20912115388589259
2017.02,(주)영화사 진진,107521200,14961,977,0.08877934292426642,0.09854825594090662,0.2018887029115781
2017.02,아이 엠,100391600.0,12452.0,1161.5,0.0828924926722896,0.08202144796311538,0.2400140516190358
2017.02,(주)스마일이엔티,78616800,10840,1038,0.06491322499012724,0.07140318791520806,0.2144938317525262
2017.02,그린나래미디어(주),71992343,9452,685,0.05944346702899904,0.06226041809728289,0.14154939764015456
2017.02,(주)엣나인필름,67703400.0,8950.5,553.5,0.05590212316955893,0.058957032604711225,0.11437604612237307
2017.02,(주)머스트씨무비릴리징컴퍼니,62974800.0,8568.0,451.5,0.05199775825406611,0.05643750129681759,0.09329861756865662
2017.02,(주)영화사 빅,52616500,9722,322,0.04344499779554789,0.06403891078520782,0.0665385489636931
2017.02,(주)팝엔터테인먼트,41622950.0,5732.75,424.0,0.03436771679975293,0.03776168132111707,0.08761597751740954
2017.02,(주)라이크 콘텐츠,41546200,5448,875,0.03430434497568998,0.0358860302363518,0.18081127435786168
2017.02,찬란,38580100,5415,412,0.031855261361968534,0.03566865890782764,0.08513628004050172
2017.02,(주)피터팬픽쳐스,37477900,5193,472,0.030945184170018236,0.03420634269775604,0.09753476742504082
2017.02,(주)퍼스트런,30918000,4211,838,0.025528730376265043,0.027737898921673533,0.17316554047072924
2017.02,이언픽쳐스,28013250.0,4962.0,260.0,0.02313030293721802,0.03268474339808694,0.053726778666336045
2017.02,에스디시코리아 주식회사,25479400,3306,218,0.021038124482470007,0.0217766549121474,0.04504783749715868
2017.02,주식회사 디에스이이디,18566000,2702,194,0.015329788736843809,0.017798100899159792,0.040088442543343046
2017.02,(주) 인스터 글로벌,18546000,792,55,0.015313274906469096,0.005216911884579777,0.011365280102494163
2017.02,(주)케빈앤컴퍼니,18047500,750,59,0.014901667684379435,0.004940257466458122,0.012191845928130102
2017.02,(주)티캐스트,17845700,2109,89,0.014735043135898608,0.013892003995680238,0.018391089620399644
2017.02,(주)동숭아트센터,15572050.0,1957.0,196.0,0.012857709614325573,0.01289077848247806,0.040501725456161014
2017.02,필라멘트픽쳐스,12091000,2263,128,0.009983436153031265,0.014906403528792975,0.026450106420350054
2017.02,(주)스톰픽쳐스코리아,8784000,1098,6,0.007252874300572875,0.007232536930894691,0.0012398487384539087
2017.02,하준사,8109000,1032,191,0.006695532525426394,0.0067977942738463755,0.03946851817411609
2017.02,(주)인디플러그,7979000.0,1177.0,135.5,0.006588192627990775,0.007752910717361613,0.027999917343417436
2017.02,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),7215500,854,121,0.0059577771534362,0.0056253065018069814,0.025003616225487156
2017.02,유아이피-씨아이씨영화및비디오배급(유),6932650.0,893.0,75.0,0.005724230307361856,0.005882199890062804,0.015498109230673858
2017.02,노바엔터테인먼트,6137000,1221,75,0.005067268850479934,0.008042739155393821,0.015498109230673858
2017.02,(주)노바미디어,5400750.0,725.0,34.5,0.004459353469810901,0.004775582217576185,0.007129130246109975
2017.02,무브먼트,3989250.0,565.5,68.5,0.003293889891115704,0.003724954129709424,0.014154939764015457
2017.02,(주)드림팩트엔터테인먼트,3369000,437,31,0.002781754726619993,0.0028785233504562656,0.006405885148678529
2017.02,주식회사 더쿱,3338500,460,32,0.002756571135298559,0.003030024579427648,0.006612526605087514
2017.02,에스케이텔레콤(주),3173750.0,379.0,31.5,0.002620538457586881,0.002496476773050171,0.006509205876883021
2017.02,(주)소나무픽쳐스,2968000,583,113,0.0024506524276070463,0.0038402268039267797,0.023350484574215277
2017.02,(재)CBS,2729500.0,381.0,5.5,0.002253725000388623,0.002509650792960726,0.0011365280102494163
2017.02,레인메이커필름,2425400,423,99,0.002002632209541149,0.002786305211082381,0.02045750418448949
2017.02,(주)버킷스튜디오,2227000,261,15,0.0018388150122240201,0.0017192095983274264,0.003099621846134772
2017.02,(주)누리픽쳐스,2129000,275,36,0.0017578972433879385,0.0018114277377013115,0.007439092430723452
2017.02,(주)콘텐츠판다,1904000,238,1,0.0015721166516724449,0.001567708369356044,0.0002066414564089848
2017.02,(주)케이알씨지,1856000,507,265,0.0015324834587731393,0.0033396140473256905,0.05475998594838096
2017.02,코리아픽쳐스(주),1623000.0,270.5,2.5,0.0013400973349077614,0.0017817861929025625,0.0005166036410224619
2017.02,영화사 마농(주),1620000.0,202.5,0.5,0.0013376202603515549,0.001333869515943693,0.0001033207282044924
2017.02,(주)씨네클럽봉봉미엘,1620000.0,202.5,0.5,0.0013376202603515549,0.001333869515943693,0.0001033207282044924
2017.02,영화사 몸,1597250.0,210.5,38.0,0.0013188357783003215,0.0013865655955859128,0.007852375343541421
2017.02,씨제이 씨지브이(CJ CGV)(주),1536500,310,3,0.0012686750185371383,0.0020419730861360235,0.0006199243692269543
2017.02,(주)영화사 안다미로,1345500.0,208.0,4.5,0.0011109679384586524,0.001370098070697719,0.0009298865538404315
2017.02,시네마달,1290500.0,213.5,15.5,0.0010655549049281986,0.0014063266254517454,0.0032029425743392644
2017.02,(주)모멘텀엔터테인먼트,1134000,198,14,0.0009363341822460884,0.0013042279711449442,0.0028929803897257867
2017.02,(유)조이앤시네마,1110500.0,205.75,4.0,0.0009169304315558035,0.0013552772982983448,0.0008265658256359392
2017.02,(주)시네마달,1026500.0,175.5,14.5,0.0008475723439820191,0.0011560202471512006,0.002996301117930279
2017.02,㈜영화사 백두대간,942000,107,4,0.0007778014106488671,0.0007048100652146921,0.0008265658256359392
2017.02,(주)콘텐츠윙,847000,166,21,0.0006993607163689919,0.0010934436525760643,0.00433947058458868
2017.02,조박픽쳐스,842000,165,20,0.0006952322587753143,0.0010868566426207869,0.004132829128179695
2017.02,(주)컨텐츠 빌리지,841000,165,20,0.0006944065672565788,0.0010868566426207869,0.004132829128179695
2017.02,(유)쏘아필름,805000,159,20,0.0006646816725820998,0.001047334582889122,0.004132829128179695
2017.02,서울독립영화제,778500.0,126.0,1.5,0.0006428008473356083,0.0008299632543649646,0.00030996218461347717
2017.02,주식회사 골든럭,770000,110,1,0.0006357824694263563,0.0007245710950805245,0.0002066414564089848
2017.02,딥 포커스,728000,104,1,0.0006011034256394642,0.0006850490353488595,0.0002066414564089848
2017.02,스토리 너머,708000.0,99.0,28.5,0.0005845895952647537,0.0006521139855724721,0.005889281507656066
2017.02,(주)영화사 사계절,660000,126,21,0.0005449564023654482,0.0008299632543649646,0.00433947058458868
2017.02,YJ COMPANY,657000,125,20,0.0005424793278092417,0.0008233762444096871,0.004132829128179695
2017.02,UIP코리아,650000,96,3,0.000536699487178093,0.0006323529557066397,0.0006199243692269543
2017.02,노가리필름,630000.0,105.0,0.5,0.0005201856568033825,0.0006916360453041371,0.0001033207282044924
2017.02,씨네그루(주)다우기술,612000.0,102.0,1.5,0.0005053232094661429,0.0006718750154383046,0.00030996218461347717
2017.02,(주)영화사구안,612000.0,102.0,1.5,0.0005053232094661429,0.0006718750154383046,0.00030996218461347717
2017.02,에이원엔터테인먼트,611000.0,128.0,4.5,0.0005044975179474074,0.0008431372742755194,0.0009298865538404315
2017.02,(주)튜브엔터테인먼트,604000.0,75.5,0.5,0.0004987176773162587,0.0004973192516234509,0.0001033207282044924
2017.02,C 무비,591500,83,29,0.0004883965333320647,0.0005467218262880321,0.005992602235860558
2017.02,주식회사 온 피크,540000.0,54.0,0.5,0.00044587342011718497,0.00035569853758498477,0.0001033207282044924
2017.02,(재)전주국제영화제조직위원회,505000,52,2,0.0004169742169614415,0.0003425245176744298,0.0004132829128179696
2017.02,(주)마노엔터테인먼트,494000,98,2,0.00040789161025535066,0.0006455269756171946,0.0004132829128179696
2017.02,대원디지털엔터테인먼트,490000.0,109.0,4.0,0.0004045888441804085,0.000717984085125247,0.0008265658256359392
2017.02,씨제이엔터테인먼트,409500.0,62.5,3.0,0.0003381206769221986,0.00041168812220484353,0.0006199243692269543
2017.02,프라임픽쳐스,405000,45,1,0.0003344050650878887,0.00029641544798748734,0.0002066414564089848
2017.02,(주)영화사한결,392000,54,1,0.00032367107534432685,0.00035569853758498477,0.0002066414564089848
2017.02,주식회사 마운틴픽쳐스,346000,148,14,0.0002856892654824926,0.0009748774733810694,0.0028929803897257867
2017.02,(주)영화사오원,319000,95,2,0.0002633955944766334,0.0006257659457513621,0.0004132829128179696
2017.02,(유)영화사 화수분,318000,53,15,0.00026256990295789784,0.00034911152762970727,0.003099621846134772
2017.02,주식회사 루믹스미디어,300000,60,1,0.00024770745562065834,0.00039522059731664976,0.0002066414564089848
2017.02,(주)나이너스엔터테인먼트,284000.0,36.5,5.5,0.00023449639132088986,0.0002404258633676286,0.0011365280102494163
2017.02,(주)프레인글로벌,283500.0,40.5,0.5,0.0002340835455615221,0.0002667739031887386,0.0001033207282044924
2017.02,(주)시네마서비스,257000,41,20,0.00021220272031503062,0.00027006740816637735,0.004132829128179695
2017.02,㈜코리아스크린,250500.0,61.5,3.0,0.00020683572544324968,0.00040510111224956603,0.0006199243692269543
2017.02,주식회사 씨엠닉스,233000,33,19,0.00019238612386537795,0.00021737132852415737,0.0039261876717707105
2017.02,한국소니픽쳐스릴리징브에나비스타영화㈜,211000,49,3,0.00017422091045319634,0.0003227634878085973,0.0006199243692269543
2017.02,(주)영화사 그램,180000,30,1,0.00014862447337239497,0.00019761029865832488,0.0002066414564089848
2017.02,㈜인디스토리,172000,25,1,0.00014201894122251076,0.0001646752488819374,0.0002066414564089848
2017.02,(주)브리즈픽처스,166000,24,6,0.0001370647921100976,0.00015808823892665992,0.0012398487384539087
2017.02,(주)로카,130000,22,1,0.00010733989743561861,0.0001449142190161049,0.0002066414564089848
2017.02,(주)도키엔터테인먼트,128000,16,16,0.00010568851439814755,0.00010539215928443992,0.003306263302543757
2017.02,주식회사 키노엔터테인먼트,105000,15,1,8.66976094672304e-05,9.880514932916244e-05,0.0002066414564089848
2017.02,모비딕엔터테인먼트(주),100000,20,1,8.256915187355277e-05,0.0001317401991055499,0.0002066414564089848
2017.02,(주)나우콘텐츠,96000,29,4,7.926638579861065e-05,0.00019102328870304735,0.0008265658256359392
2017.02,(주)싸이더스,85500.0,9.5,0.5,7.059662485188761e-05,6.257659457513621e-05,0.0001033207282044924
2017.02,(주)레인보우팩토리,81000,11,4,6.688101301757774e-05,7.245710950805245e-05,0.0008265658256359392
2017.02,제인앤유,68000,18,17,5.614702327401588e-05,0.00011856617919499493,0.0035129047589527412
2017.02,즐감,65000,21,12,5.3669948717809307e-05,0.00013832720906082743,0.0024796974769078174
2017.02,홀리가든,57000,9,11,4.706441656792508e-05,5.9283089597497466e-05,0.0022730560204988325
2017.02,배급위원회,52500.0,7.5,0.5,4.33488047336152e-05,4.940257466458122e-05,0.0001033207282044924
2017.02,(주)영화사가을,50000,10,10,4.1284575936776386e-05,6.587009955277495e-05,0.0020664145640898477
2017.02,(주)쇼박스,43000,20,2,3.550473530562769e-05,0.0001317401991055499,0.0004132829128179696
2017.02,주식회사 풍경소리,42000,12,12,3.467904378689217e-05,7.904411946332996e-05,0.0024796974769078174
2017.02,(주)영진크리에이티브,35000,7,7,2.889920315574347e-05,4.610906968694247e-05,0.0014464901948628933
2017.02,(주)플라이어,24000,3,3,1.9816596449652663e-05,1.976102986583249e-05,0.0006199243692269543
2017.02,(주)시네마리퍼블릭,13000,4,4,1.0733989743561861e-05,2.634803982110998e-05,0.0008265658256359392
2017.02,(주)티에스앤컴퍼니,8000,1,1,6.605532149884222e-06,6.587009955277495e-06,0.0002066414564089848
2017.02,(주)대양미디어,8000,1,1,6.605532149884222e-06,6.587009955277495e-06,0.0002066414564089848
2017.02,영화사 인연,5000,1,1,4.128457593677639e-06,6.587009955277495e-06,0.0002066414564089848
2017.02,전망 PRODUCTION,5000,1,1,4.128457593677639e-06,6.587009955277495e-06,0.0002066414564089848
2017.02,(주)영화사히트,5000,1,1,4.128457593677639e-06,6.587009955277495e-06,0.0002066414564089848
