date,배급사,매출액,관객수,상영횟수,매출액 점유율,관객수 점유율,상영횟수 점유율
2014.05,롯데쇼핑㈜롯데엔터테인먼트,33317658490,4241008,101685,24.929956902364253,25.151127389300704,24.227327310155538
2014.05,이십세기폭스코리아(주),28565178966.0,3580431.5,60192.0,21.37391139729825,21.233605021533798,14.341262580054895
2014.05,씨제이이앤엠(주),23596439705,3016234,75651,17.656049421103443,17.887654437327168,18.02450251601098
2014.05,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),20848484265,2546172,56126,15.599890201229721,15.099970650154527,13.372503049710277
2014.05,(주)넥스트엔터테인먼트월드(NEW),10605283000,1352165,39576,7.935409032622457,8.018960154367496,9.42932296431839
2014.05,워너브러더스 코리아(주),5995634463.0,711571.5,25293.5,4.486236894762043,4.219946164472169,6.026394289417506
2014.05,(주)쇼박스,3405587400,435584,10219,2.5482327077311586,2.583213394726244,2.434764791094846
2014.05,(주)나이너스엔터테인먼트,1381639528.3333333,179509.66666666666,11427.333333333334,1.033812562377125,1.064574859076955,2.7226606180746167
2014.05,CGV아트하우스,1294127200,163258,11709,0.968331412961107,0.9681950034808835,2.7897701280878318
2014.05,씨네그루(주)다우기술,929742200,121625,3400,0.6956801296005278,0.7212921712771346,0.8100792924672156
2014.05,유니버설픽쳐스인터내셔널 코리아(유),529868450.0,65742.0,1968.5,0.3964743688812133,0.3898802871457462,0.46901208447697473
2014.05,주식회사 더쿱,527176450.0,65366.0,1965.5,0.39446007835112373,0.3876504342668134,0.4682973086306801
2014.05,(주)싸이더스,489469800,65130,2766,0.36624605605676974,0.386250845757696,0.6590233302836231
2014.05,씨너스엔터테인먼트(주),342039000.0,49037.5,2347.0,0.2559308761594719,0.29081492167730716,0.5591929704178102
2014.05,(주)피터팬픽쳐스,305091700.0,38469.0,1403.5,0.2282850379342202,0.2281388574459206,0.33439596675815797
2014.05,판씨네마(주),241880000.0,30691.0,1209.5,0.18098684748070556,0.18201174124289035,0.2881737953644404
2014.05,(주)프레인글로벌,190556932.5,25752.5,1803.5,0.14258433305262366,0.15272416559765187,0.4296994129307716
2014.05,에이원엔터테인먼트,145524500.0,18603.0,939.5,0.10888878983878758,0.11032434336911436,0.2238439691979262
2014.05,no record,95658400,36714,808,0.07157645217069757,0.217730900524306,0.19251296126867948
2014.05,(주)영화사 빅,88706300,12465,890,0.06637453939423563,0.07392318121249318,0.21205016773406526
2014.05,(주)김기덕 필름,75768100,9766,1414,0.056693523890370634,0.05791687025440902,0.33689768222018907
2014.05,스크린조이,69851000,11764,302,0.05226605045218607,0.06976592890363174,0.07195410186032326
2014.05,(주)박수엔터테인먼트,53698800,7813,1085,0.04018015762153511,0.04633468229548409,0.2585105977432144
2014.05,(주)팝엔터테인먼트,49623350.0,6613.0,511.0,0.037130699842614814,0.039218130554209175,0.12175015248551387
2014.05,와이드 릴리즈(주),46588400,6405,345,0.034859796780098,0.037984594919054857,0.08219922232387923
2014.05,(주)영화사 진진,36842200.0,4948.5,347.0,0.027567197090514514,0.029346880243082428,0.08267573955474229
2014.05,(주)엣나인필름,36438200.0,4633.5,398.0,0.027264903860887403,0.027478785410997766,0.09482692894175053
2014.05,(주)미루픽처스,33801400,4553,617,0.025291916762172656,0.027001383398353906,0.14700556572125648
2014.05,얼리버드,31624000.0,4883.666666666667,470.0,0.02366267597457348,0.028962388767060775,0.11198154925282097
2014.05,(주)인벤트스톤,30059000,4334,53,0.022491663835052626,0.025702612705571233,0.012627706617871303
2014.05,(주)미디어데이,29130000,4243,103,0.02179653905702395,0.02516294086519122,0.024540637389448002
2014.05,㈜영화사 백두대간,23280400,2855,277,0.0174195725322053,0.0169314626844499,0.06599763647453492
2014.05,(주)시네마달,20174200,2905,333,0.01509535661669113,0.01722798567366969,0.07934011893870083
2014.05,(주)티캐스트,19952500,2714,144,0.014929469465680412,0.016095267854850097,0.0343092406221409
2014.05,그린나래미디어(주),19680000.0,2748.0,291.0,0.014725571185795792,0.016296903487519554,0.06933325709057639
2014.05,(주)티캐스트콘텐츠허브,19281500,2592,134,0.014427393334294792,0.015371751761153815,0.03192665446782556
2014.05,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),17993800,2328,378,0.013463871077386804,0.013806110378073336,0.09006175663311985
2014.05,㈜인디스토리,16867700,2497,343,0.012621266112329657,0.014808358081636218,0.08172270509301617
2014.05,이십세기폭스필름코퍼레이션,15169532.5,2012.0,66.5,0.011350611315243536,0.011932085086204275,0.015844197926197012
2014.05,(주)쓰리캣프로덕션,12660500,491,58,0.009473226321024776,0.002911855754138319,0.013818999695028972
2014.05,(주)퍼스트런,11852000,1546,25,0.008868265736486367,0.009168490826675849,0.00595646538578835
2014.05,(주) 인스터 글로벌,11452000,527,42,0.008568965509132795,0.003125352306376567,0.010006861848124427
2014.05,(주)케이알씨지,7143000,1773,82,0.005344753809966429,0.010514705197733686,0.01953720646538579
2014.05,(주)소나무픽쳐스,6672000,2974,39,0.004992327792257598,0.017637187398792997,0.009292086001829826
2014.05,주식회사 풍경소리,5292000,864,16,0.00395974200788777,0.0051239172537179386,0.003812137846904544
2014.05,(주)마인스 엔터테인먼트,5211000.0,652.5,18.0,0.003899133711848672,0.0038696250093182352,0.004288655077767612
2014.05,(주)액티버스엔터테인먼트,4828000,697,33,0.003612553744157626,0.0041335304697238465,0.007862534309240622
2014.05,주식회사 우리네트웍스,3752000,459,48,0.0028074361325765144,0.002722081041037655,0.011436413540713633
2014.05,(주)영화사 조제,3701500.0,480.0,46.5,0.002769649478873126,0.002846620696509966,0.01107902561756633
2014.05,케이비에스미디어(주),3160500.0,500.5,26.0,0.0023648459213774188,0.002968195122090079,0.006194724001219885
2014.05,KBS 미디어,3160500.0,500.5,26.0,0.0023648459213774188,0.002968195122090079,0.006194724001219885
2014.05,주식회사 마운틴픽쳐스,3102000.0,534.5,108.0,0.0023210732631269585,0.003169830754759535,0.02573193046660567
2014.05,(주)인디플러그,3012000,502,2,0.0022537307119724044,0.0029770908117666725,0.000476517230863068
2014.05,(주)드림웨스트픽쳐스,2972000,424,2,0.0022238006892370474,0.0025145149485838033,0.000476517230863068
2014.05,하준사,2314000,303,29,0.0017314518152404196,0.001796929314671916,0.006909499847514486
2014.05,(주)도키엔터테인먼트,1890000,378,7,0.0014141935742456324,0.002241713798501598,0.0016678103080207379
2014.05,예지림엔터테인먼트,1815000,426,17,0.0013580747816168374,0.002526375868152595,0.004050396462336079
