date,배급사,매출액,관객수,상영횟수,매출액 점유율,관객수 점유율,상영횟수 점유율
2006.11,씨제이엔터테인먼트,12958122350.0,2144402.0,72887.5,28.27481533913844,28.00512878377094,30.666748009895823
2006.11,(주)쇼박스,8368438000,1426655,41156,18.260055950700988,18.631607788563304,17.316010030461637
2006.11,워너브러더스 코리아(주),4839031100,783657,17530,10.55883769864605,10.234282194897961,7.375586933472459
2006.11,롯데쇼핑㈜롯데엔터테인먼트,4380755500,738363,26831,9.558873536057874,9.642758635820831,11.288897490701627
2006.11,이십세기폭스코리아(주),2921198200.0,478643.6666666667,14389.0,6.374097839416032,6.250916351755095,6.054039953550211
2006.11,UIP코리아,1856427000.0,324106.0,8557.0,4.050751273820991,4.232709291258292,3.6002793719180732
2006.11,(주)엔케이컨텐츠,1845830000.0,322364.0,8419.0,4.027628462501891,4.209959389728015,3.5422171359329506
2006.11,(주)퍼스트런,1764908700.0,292814.6666666667,7109.0,3.851056984574534,3.8240555874210895,2.991046634914758
2006.11,글뫼 주식회사,1764908700.0,292814.6666666667,7109.0,3.851056984574534,3.8240555874210895,2.991046634914758
2006.11,㈜스튜디오이쩜영,1056088500,181040,6142,2.3044007852949235,2.364318124593192,2.584190242178428
2006.11,(주)미로비젼,1036782000.0,164492.0,6173.0,2.262273715677845,2.148207119700527,2.5972332082330567
2006.11,브에나비스타인터내셔널코리아,880973000.0,142969.0,4997.5,1.9222961645956989,1.867124381103425,2.1026523502583347
2006.11,(주)프라임엔터테인먼트,863874250.0,151799.5,7606.0,1.8849864382540507,1.9824475759731786,3.2001548326292935
2006.11,(주)시네마서비스,792575150.0,130484.0,4923.0,1.729410743574276,1.704074713706463,2.071307157643178
2006.11,no record,78534000,15002,411,0.1713623538863945,0.1959207937756687,0.1729244854339521
2006.11,(주)디스테이션,75725250.0,13579.5,393.0,0.1652336196887424,0.17734344881193798,0.16535115030545786
2006.11,(주)엠케이픽처스,56282000,10293,665,0.12280815954152412,0.13442292563211294,0.27979265891381544
2006.11,스폰지,54265625.0,8009.75,296.5,0.11840839935717494,0.10460449126414229,0.12474965919991922
2006.11,(주)스폰지이엔티,44014625.0,6441.75,180.5,0.09604056517466251,0.08412696795789988,0.07594372170517848
2006.11,(주)영화사 진진,43856700.0,6578.0,283.5,0.09569597048016704,0.08590634458447866,0.11928002827378448
2006.11,프리비젼엔터테인먼트,36827500,5791,555,0.08035815172729255,0.07562840399646031,0.23351116646190612
2006.11,(주)동숭아트센터,31733500.0,4671.0,104.5,0.06924296810367356,0.06100160163485859,0.043967417829313855
2006.11,(주)동아수출공사,25432500,4216,194,0.05549409256138397,0.055059463175457894,0.08162372305154918
2006.11,㈜세종커뮤니케이션스,14983000,2168,87,0.03269312843201478,0.0283133102856719,0.03660445312105556
2006.11,㈜영화사 백두대간,13873500,2002,44,0.0302721829607927,0.02614540922136307,0.01851259698076373
2006.11,(주)아미가스필름,11771500,1991,298,0.025685587755286787,0.026001753126740194,0.12538077046062707
2006.11,(주)이모션픽처스,8142000,1186,104,0.01776596487308712,0.015488738929338964,0.043757047409077904
2006.11,데이지엔터테인먼트,7988000,1163,23,0.017429934586860714,0.015188367095127499,0.009677039330853766
2006.11,소니픽쳐스릴리징코리아,7000000,1000,8,0.015274103919382198,0.01305964496571582,0.0033659267237752238
2006.11,인터비스앤파트너스(주),5683000,866,95,0.012400390367692717,0.011309652540309901,0.03997037984483078
2006.11,㈜씨네콰논코리아,4599000,699,65,0.010035086275034103,0.009128691831035358,0.02734815463067369
2006.11,(주)홈초이스,3650375.0,532.25,18.0,0.007965172442102111,0.006950996033002245,0.007573335128494253
2006.11,(주)프레인글로벌,3574750.0,511.5,11.5,0.007800157569401644,0.0066800083999636415,0.004838519665426883
2006.11,라인트리엔터테인먼트,2021000,300,53,0.004409852003010203,0.003917893489714746,0.022299264545010855
2006.11,(주)영화랑,1402000,202,25,0.0030591848135676915,0.002638048283074596,0.010518521011797573
2006.11,(주)드림컴스,1047000,176,16,0.0022845695433704517,0.0022984975139659844,0.0067318534475504475
2006.11,한국소니픽쳐스릴리징브에나비스타영화㈜,952000,136,4,0.0020772781330359786,0.0017761117153373513,0.0016829633618876119
2006.11,판씨네마(주),704000.0,106.0,6.0,0.001536138451320724,0.0013843223663658768,0.0025244450428314174
2006.11,(주)화인픽쳐스,550000,81,21,0.0012001081650943155,0.0010578312422229814,0.008835557649909962
2006.11,필름메신저,480500.0,80.5,8.5,0.0010484581333233065,0.0010513014197401237,0.003576297144011175
2006.11,씨제이 씨지브이(CJ CGV)(주),480500.0,80.5,8.5,0.0010484581333233065,0.0010513014197401237,0.003576297144011175
2006.11,(주)튜브엔터테인먼트,170000,34,5,0.0003709425237564248,0.00044402792883433784,0.0021037042023595146
2006.11,이언픽쳐스,165000.0,33.0,3.5,0.0003600324495282946,0.0004309682838686221,0.0014725929416516603
2006.11,영화사청어람(주),95000.0,19.0,4.0,0.0002072914103344727,0.00024813325434860055,0.0016829633618876119
2006.11,(주)이수C&E,0.0,0.0,0.5,0.0,0.0,0.00021037042023595149
