date,배급사,매출액,관객수,상영횟수,매출액 점유율,관객수 점유율,상영횟수 점유율
2017.12,롯데쇼핑㈜롯데엔터테인먼트,68400527532.0,8547527.5,91563.0,36.02177441904883,35.79115427242209,16.95827800218917
2017.12,(주)넥스트엔터테인먼트월드(NEW),40498811138.0,5131583.0,104840.0,21.32789163607263,21.487532952042393,19.417295913737124
2017.12,씨제이이앤엠(주),15286471537,1946912,28231,8.050315534648684,8.152325657545978,5.228631065821373
2017.12,(주)쇼박스,13496274447,1694627,60818,7.107543920622039,7.095929950645005,11.264031885555747
2017.12,이십세기폭스코리아(주),12355216463.0,1530726.5,50688.5,6.506628477689624,6.409627615750252,9.387958831776654
2017.12,월트디즈니컴퍼니코리아 유한책임회사,9087081261,1013909,33752,4.785530216242423,4.245552112841661,6.2511691308704265
2017.12,(주)이수C&E,5019448150.0,661153.0,23457.0,2.6433923171546216,2.768453101867725,4.344444012290459
2017.12,메가박스중앙(주),4830007130.0,614390.5,23784.5,2.543626980038442,2.5726439802633614,4.405099910914543
2017.12,메가박스중앙(주)플러스엠,4816037130.0,613050.5,23555.5,2.536269957997951,2.56703298378221,4.362687084090375
2017.12,주식회사 키위컴퍼니,4772798880.0,606903.0,23126.5,2.5134993954895584,2.541291490597226,4.283232487114094
2017.12,CGV아트하우스,4725639167.0,621089.5,24458.5,2.4886636726574745,2.600694775358312,4.529930676327161
2017.12,씨네그루(주)키다리이엔티,2534043700.0,342128.0,6696.5,1.3345036043283105,1.432596271718953,1.240251069118091
2017.12,판씨네마(주),1657677722,203370,8178,0.8729829303353148,0.8515733987849093,1.5146379815198607
2017.12,워너브러더스 코리아(주),746556600.0,95781.0,6524.0,0.39315915251780736,0.4010648163889335,1.2083025423618945
2017.12,팝엔터테인먼트,621078849.0,81151.5,6066.75,0.32707879606124335,0.3398065529404218,1.1236157953516284
2017.12,(주)팝엔터테인먼트,621057099.0,81147.5,6065.75,0.3270673418572791,0.33978980369719447,1.1234305865008678
2017.12,씨제이엔터테인먼트,564854800.0,68205.5,3784.0,0.2974695213512486,0.28559762723520743,0.7008302912779596
