date,배급사,매출액,관객수,상영횟수,매출액 점유율,관객수 점유율,상영횟수 점유율
2009.08,씨제이엔터테인먼트,71255843000,9864468,144915,46.261707723903704,46.056266751740345,36.69495945993852
2009.08,(주)쇼박스,44109411000,6145955,82025,28.637324233965533,28.6948817639423,20.770134559579457
2009.08,한국소니픽쳐스릴리징브에나비스타영화㈜,6059515500,826536,17720,3.9340427845259547,3.859018296365953,4.487007429390405
2009.08,이십세기폭스필름코퍼레이션,5843554000,827275,19902,3.7938332610400582,3.862468617369532,5.039527192986899
2009.08,(주)싸이더스,4961840000,692153,26236,3.22139465605332,3.2315967978219744,6.643404453582768
2009.08,워너브러더스 코리아(주),4017804500,551389,16430,2.6084948215514774,2.574383014671988,4.160357340004761
2009.08,no record,3436545000,466104,15225,2.2311214586296124,2.176195427675692,3.855230706121271
2009.08,에이원엔터테인먼트,3376428500,523153,8138,2.192091789829202,2.442551805122508,2.0606809514886635
2009.08,롯데쇼핑㈜롯데엔터테인먼트,2995147500,428659,17292,1.9445512452218254,2.0013682693820147,4.378630500508966
2009.08,(주)시너지하우스 (시너지),2186398000,305483,12174,1.419483665979892,1.42627119233616,3.0826652621556883
2009.08,(주)넥스트엔터테인먼트월드(NEW),1401748500.0,188846.0,4990.5,0.91006262334754,0.8817040869309077,1.263680055100046
2009.08,에스케이텔레콤(주),1359859500,183482,10475,0.8828668651716581,0.8566600789969436,2.652449369236145
2009.08,이언픽쳐스,1063296000.0,148137.0,3060.5,0.6903277921502651,0.6916376217959813,0.7749710066393529
2009.08,(주)프라임엔터테인먼트,600018500.0,78753.5,5774.0,0.3895523413558537,0.36769263214531017,1.4620756714052032
2009.08,(주)성원아이컴,367382000,49419,3198,0.23851684285067248,0.23073263014328355,0.8097883611281329
2009.08,대원미디어(주),173730000,27855,680,0.11279140270467071,0.1300523566369446,0.17218764401723902
2009.08,㈜케이디미디어,158398000,20482,1297,0.10283734879188644,0.09562851799094951,0.32842260925052796
2009.08,㈜씨에이엔,133916000,13743,424,0.08694280483853498,0.06416476529389802,0.10736406038721963
2009.08,예지림엔터테인먼트,96394500,13707,995,0.06258257565196212,0.06399668470373718,0.2519510379369894
2009.08,(주)영화사구안,79263000.0,12109.0,431.5,0.05146022536453297,0.0565357740627091,0.10926318881388035
2009.08,(유)마스엔터테인먼트코리아,73505500,10286,841,0.047722261276165155,0.0480243597331758,0.21295560090955593
2009.08,스폰지,72043750.0,10515.5,837.0,0.04677324364591389,0.04909587349545111,0.21194273241533687
2009.08,(주)스폰지이엔티,67861750.0,9784.5,799.0,0.04405814754212679,0.04568290373412975,0.20232048172025585
2009.08,㈜영화사 백두대간,55775000,7530,173,0.036211019892091224,0.03515685677530758,0.043806562374974045
