date,배급사,매출액,관객수,상영횟수,매출액 점유율,관객수 점유율,상영횟수 점유율
2014.02,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),48301900558,6005720,111638,34.80184237689393,32.36122806186595,27.37386195617259
2014.02,씨제이이앤엠(주),45480647173.0,6298553.5,105833.5,32.7691104455251,33.93913240600029,25.950586891010158
2014.02,롯데쇼핑㈜롯데엔터테인먼트,14400296492,1950436,59570,10.375509926226258,10.50973142538673,14.60668371637974
2014.02,(주)넥스트엔터테인먼트월드(NEW),11514604150.0,1560192.0,37604.0,8.296349295395538,8.406940239021928,9.220576371843944
2014.02,(주)쇼박스,3966202789,547690,20902,2.857675633939702,2.9511733809107596,5.125212406240882
2014.02,영화사올(주),3246330000,459201,13093,2.3390024752280696,2.4743591588080878,3.2104299126835643
2014.02,(주)싸이더스,2340255200.0,344867.5,7783.0,1.6861695223422637,1.858284405304536,1.9084072413057498
2014.02,워너브러더스 코리아(주),1454470000.0,213805.5,6045.5,1.047955361945634,1.152069784535623,1.4823687494942708
2014.02,(주)마인스 엔터테인먼트,1190518400.0,165049.5,4252.5,0.8577764689370955,0.8893529020661878,1.0427215461457922
2014.02,주식회사 마운틴픽쳐스,1189766400.0,164954.5,4321.0,0.8572346479080036,0.8888410039647316,1.0595178838085757
2014.02,(주)누리픽쳐스,960757700,126186,4899,0.6922323480343733,0.6799407771615423,1.2012446454011136
2014.02,유니버설픽쳐스인터내셔널 코리아(유),665073000,89446,3862,0.47918954425685556,0.48197092192470886,0.9469701613674426
2014.02,블루미지,593614400,76386,2943,0.42770314506874696,0.4115984039771573,0.7216295144755007
2014.02,(주)영화사 빅,361308000,54019,2745,0.2603248302913454,0.2910760372901063,0.6730795165597176
2014.02,판씨네마(주),343378400.0,46575.5,1633.0,0.24740643358495717,0.2509674739407495,0.4004148818003712
2014.02,(주)박수엔터테인먼트,332371900,45492,2210,0.23947617672764515,0.24512914138361533,0.5418964413832336
2014.02,씨너스엔터테인먼트(주),260709550.0,38981.5,2152.5,0.18784297430193359,0.21004795623066472,0.5277973258268824
2014.02,(주)인디플러그,250558800.0,38096.5,2252.0,0.18052929104255414,0.20527922128552056,0.5521949257896117
2014.02,(주)인벤트스톤,223476000,30902,1767,0.16101595252302386,0.16651236980208564,0.4332719510969112
2014.02,이십세기폭스코리아(주),216196121.0,29649.5,2291.0,0.1557707510184446,0.15976339746446633,0.561757804166963
2014.02,(주)프레인글로벌,197290650.0,29061.5,1064.0,0.14214923273029997,0.15659501763650613,0.2608949382949143
2014.02,주식회사 우리네트웍스,137167000,17937,698,0.09882974082105286,0.09665174995599023,0.17115100275361855
2014.02,(주)티캐스트,103339719,13394,522,0.07445695863648279,0.07217224390425006,0.12799544905070043
2014.02,(주)티캐스트콘텐츠허브,101453100,13119,515,0.07309763702998796,0.07069043361056118,0.12627903498297072
2014.02,no record,99542000,44130,721,0.07172067669927348,0.23779013912905442,0.176790648976159
2014.02,(주)앤드플러스미디어웍스,94554500,13619,503,0.06812714959475855,0.07338463414454095,0.12333661086686266
2014.02,(주)머스트씨무비,83961500,12804,536,0.06049482225277823,0.06899308727415393,0.13142827718615982
